District,Total Branch,Agriculture (NPS) No.,Agriculture (NPS) Amt,MSME (NPS) No.,MSME (NPS) Amt,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt,Education (NPS) A/C,Education (NPS) Amt,Housing (NPS) A/C,Housing (NPS) Amt,Personal Loans under NPS A/C,Personal Loans under NPS Amt,Others NPS A/C,Others NPS Amt,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt
Bajali,32,5,12.79,0,0,0,0,1,16.92,63,549.01,165,549.51,1663,5912.62,1897,7040.85
Baksa,39,10,39.52,0,0,0,0,0,0,36,404.67,86,337.94,1153,4250.41,1285,5032.54
Barpeta,93,48,191.51,4,141.2,0,0,2,34.9,156,1141.3,506,1743.29,6388,112742,7104,115994.2
Biswanath,60,42,96.76,0,0,0,0,1,4.72,59,340.23,166,723.41,1954,6165.01,2222,7330.13
Bongaigaon,66,67,255.3,0,0,0,0,5,56.46,315,1613.84,481,1957.26,5113,15561.35,5981,19444.21
Cachar,169,415,549.52,9,778.36,0,0,6,74.69,172,1209.07,1096,3309.9,14332,33128.59,16030,39050.13
Charaideo,37,155,193.84,0,0,0,0,1,6.49,25,219.2,51,269.57,1055,3249.6,1287,3938.7
Chirang,40,36,100.85,0,0,0,0,1,4.59,42,289.14,128,455.89,1350,6295.09,1557,7145.56
Darrang,71,153,185.63,0,0,0,0,5,80.65,89,833.72,489,1559.98,3880,12139.95,4616,14799.93
Dhemaji,48,123,228.64,0,0,0,0,0,0,89,511.16,246,1017.73,3669,11276.2,4127,13033.73
Dhubri,91,43,71.51,0,0,0,0,0,0,87,650.98,361,1092.57,5017,14209.89,5508,16024.95
Dibrugarh,191,175,463.48,36,771.86,0,0,14,217.85,313,3571.65,1153,6139.09,15116,75543.4,16807,86707.33
Dima Hasao,32,61,212.62,1,8.62,0,0,0,0,9,28.17,177,1138.45,951,4017.06,1199,5404.92
Goalpara,73,75,103.22,1,8.54,0,0,2,30.8,64,368.6,323,997.24,3611,12069.79,4076,13578.19
Golaghat,127,382,665.27,31,3569.44,0,0,4,30.31,192,1658.02,420,1891.89,6278,20618.2,7307,28433.13
Hailakandi,47,407,311.66,1,10,0,0,1,4,34,279.39,289,585.55,1854,4690.95,2586,5881.55
Hojai,60,258,254.93,0,0,0,0,1,11.35,44,295.61,317,900.48,3661,10484.27,4281,11946.64
Jorhat,139,324,681.72,34,2203.15,0,0,13,181.25,535,3403.19,753,3351.13,10671,30801.04,12330,40621.48
Kamrup Metro,179,109,296.11,13,555.24,0,0,3,13.21,381,3378.47,896,3650.48,19756,34316.61,21158,42210.12
Karbi Anglong,68,46,48.58,0,0,0,0,1,32.65,31,218.05,429,2070.43,2870,11136.44,3377,13506.15
Karimganj,95,152,465.91,0,0,0,0,3,12.13,25,144.45,465,1192.38,4095,11745.89,4740,13560.76
Kokrajhar,59,43,129.51,1,0.3,0,0,1,0.49,102,948.18,366,1406.47,5114,18002.85,5627,20487.8
Lakhimpur,94,259,779.83,8,286.84,0,0,1,8.69,159,1293.18,435,1684,6022,20945.81,6884,24998.35
Majuli,17,145,546.07,0,0,0,0,0,0,12,46.77,20,130.53,387,1940.94,564,2664.31
Morigaon,68,341,432.65,0,0,0,0,2,37.62,72,681.33,314,1014.03,3234,9085.19,3963,11250.82
Nagaon,157,245,378.04,27,1778.22,0,0,12,142.5,315,1847.59,736,3281.44,9974,36757,11309,44184.79
Nalbari,89,54,85.24,8,59.38,0,0,4,49.22,173,1807.27,534,2286.03,4799,13482.23,5572,17769.37
Sivasagar,106,341,465.43,31,737.19,0,0,10,109.22,148,1008.89,636,2522.18,9177,23295.6,10343,28138.51
Sonitpur,135,78,144.76,6,77.35,0,0,13,287.24,395,3596.5,660,2819.48,9696,29764.3,10848,36689.63
South Salmara,16,0,0,0,0,0,0,0,0,6,44.26,108,145.04,344,1543.67,458,1732.97
Tamulpur,22,0,0,0,0,0,0,0,0,21,110.75,49,93.61,720,2197.78,790,2402.14
Tinsukia,155,212,512.14,16,1436.58,0,0,4,31.97,230,2570.18,1176,4989.83,8915,37456.27,10553,46996.97
Udalguri,52,1,9.8,0,0,0,0,5,24.53,33,195.32,147,385.1,1650,6687.31,1836,7302.06
West Karbi Anglong,22,0,0,0,0,0,0,0,0,2,0.53,38,219.56,291,1565.14,331,1785.23
