District,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C No.,Forestry and wasteland Dev. Amt,Water Resource A/C No.,Water Resource Amt,Farm mechanization A/C No.,Farm mechanization Amt,Plantation & horticulture A/C No.,Plantation & horticulture Amt,Animal Husbandry A/C No.,Animal Husbandry Amt,Fishery A/C No.,Fishery Amt,Farm Credit Others A/C No.,Farm Credit Others Amt,Agri. Infrastructure A/C,Agri. Infrastructure Amt,Ancillary Activities A/C,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Bajali,32,796,1405.66,0,0,0,0,287,417.75,0,0,119,343.97,2,6,566,733.47,0,0,61,66.58,1831,2973.43
Baksa,39,499,706.85,0,0,0,0,35,79.87,0,0,52,187.62,5,6.83,558,1071.72,0,0,132,602.09,1281,2654.98
Barpeta,93,2351,3869.01,29,61.33,0,0,498,1530.39,1,4.12,144,227.5,17,25.49,3048,3916.81,113,56.55,476,3960,6677,13651.2
Biswanath,60,987,1153.66,0,0,0,0,99,264.65,0,0,256,718.45,6,6,1181,1629.89,1,0.2,246,2430.75,2776,6203.6
Bongaigaon,66,1156,4447.57,14,26.7,0,0.3,235,598.71,0,0,30,80.33,23,10.3,1588,1821.91,5,6.82,212,704.02,3263,7696.66
Cachar,169,1108,2007.68,33,64.82,0,0,665,1218.39,0,0,134,238.48,53,72.77,3246,3599.35,5,69.37,502,3549.59,5746,10820.45
Charaideo,37,551,710.29,0,0,0,0,10,16.7,0,0,40,169.59,0,0,622,1090.47,0,0,293,584.43,1516,2571.48
Chirang,40,823,1434.38,0,0,0,0,62,184,0,0,20,51.32,0,0,933,1112.88,0,0,174,176.15,2012,2958.73
Darrang,71,1587,2756.55,16,35.87,0,22.32,411,1233.99,0,0,115,91.58,15,17.76,2940,3661.94,116,93.66,335,3987.66,5535,11901.33
Dhemaji,48,1160,1503.01,0,0,0,0,341,892.85,0,0,182,554.77,2,2.85,604,1390.06,3,41.65,310,414.89,2602,4800.08
Dhubri,91,1567,3548.17,18,40.81,0,0,304,581.32,0,0,12,22.58,12,10.12,1736,2030.93,41,15.55,230,766.93,3920,7016.41
Dibrugarh,191,5548,4967.12,12,23.18,8,14.31,454,1104.56,0,0,283,1098.17,3,52.5,3061,4121.5,2,0.7,1731,10743.57,11102,22125.61
Dima Hasao,32,45,64.61,0,0,0,0,3,4.25,0,0,13,25.5,33,142.52,103,256.87,0,0,26,58.84,223,552.59
Goalpara,73,1641,3285.27,2,3.89,0,0,162,398.49,2,7.13,76,263.52,5,6.77,1280,2098.84,0,0,436,1005.35,3604,7069.26
Golaghat,127,2197,2572.83,0,0,0,0,217,780.5,1,3,277,934.27,5,5.32,3134,4024.7,6,139.57,936,4694.3,6773,13154.49
Hailakandi,47,428,570.97,0,0,0,0,100,141.27,0,0,34,79.37,16,48.56,939,1369.12,3,770.57,208,211.38,1728,3191.24
Hojai,60,895,1570.82,0,0,0,0,332,568.67,0,0,23,25.66,1,2.5,1076,1607.62,16,131.11,174,658.9,2517,4565.28
Jorhat,139,2096,2009.92,18,23.62,4,0,142,413.75,0,0,97,316.6,4,7.92,3185,3710.38,48,281.33,1101,13452.74,6695,20216.26
Kamrup Metro,179,2384,4170.85,10,19.49,0,0,550,1334.64,0,0,210,586.56,9,21.13,4754,5064.33,3,7.11,1413,2283.86,9333,13487.97
Karbi Anglong,68,921,677.59,3,5.13,0,5.22,92,178.04,1,4,142,283.51,0,0.01,630,1416.79,0,0,219,368.5,2008,2938.79
Karimganj,95,505,937.73,2,3.97,0,0,204,168.88,0,0,87,211.95,33,140.1,2174,2141.45,1,1,307,532.82,3313,4137.9
Kokrajhar,59,1616,3352.54,30,42.79,2,1.5,245,479.8,0,0,64,58.78,19,16.9,1676,2184.88,2,2.98,253,323.86,3907,6464.03
Lakhimpur,94,4377,3564.47,0,0,0,3.33,442,1451.13,2,2.45,205,596.83,3,8.51,1983,2530.93,2,6.2,478,2861.16,7492,11025.01
Majuli,17,211,455.3,0,0,0,0,0,0,1,6,30,103.76,3,4.85,339,318.11,0,0,2,7,586,895.02
Morigaon,68,1337,2467.86,2,3.61,0,0,289,935.55,0,0,126,126.16,14,26.01,1280,1516.75,0,0,492,913.46,3540,5989.4
Nagaon,157,3596,4206.8,14,27.7,0,0,648,2085.29,3,10.77,176,570.23,37,36.6,4516,6395.72,32,27.26,862,2763.34,9884,16123.71
Nalbari,89,1343,2579.58,7,15.01,0,0,421,1092.77,0,0,162,437.69,30,30.37,2344,3005.69,0,0,332,2081.19,4639,9242.3
Sivasagar,106,1552,2326.63,3,5.07,1,0,292,634.99,0,0,71,127.18,6,22.01,3725,3332.38,10,84.52,906,2023.12,6566,8555.9
Sonitpur,135,1807,2162.26,5,9.8,0,0,400,994.03,0,0,119,378.28,6,10.82,3182,3748.8,29,45.07,841,6021.83,6389,13370.89
South Salmara,16,115,183.05,0,0,0,0,0,0,0,0,0,0,1,0.92,49,79.37,0,0,2,17.23,167,280.57
Tamulpur,22,239,671.63,0,0,0,0,15,16.63,0,0,24,56,0,0,378,643.56,0,0,142,62.51,798,1450.33
Tinsukia,155,2556,3504.21,2,3.33,2,0,278,753.18,1,6,104,427.63,16,56.08,2050,3777.52,8,763.4,1001,13659.44,6018,22950.79
Udalguri,52,1035,1023.2,0,0,0,0,5,2.08,0,0,6,8.59,1,0,1375,2044.03,11,7.75,233,215.99,2666,3301.64
West Karbi Anglong,22,283,194.01,0,0,0,0,0,0,0,0,19,79.8,0,0,293,679.38,0,0,1,6,596,959.19
