District,Total Branch,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Bajali,32,143,88.86,6411,1832.75
Baksa,39,44,74.12,879,670.82
Barpeta,93,1066,409.81,6899,2474.4
Biswanath,60,183,78.59,3172,1054.86
Bongaigaon,66,894,426.12,9312,3285.21
Cachar,169,1921,807.01,15158,4968.11
Charaideo,37,409,209.4,4626,1999.51
Chirang,40,370,172.31,3230,1294.14
Darrang,71,928,422.21,8923,2844.04
Dhemaji,48,522,203.13,4917,1319.89
Dhubri,91,330,239.06,2881,1944.08
Dibrugarh,191,440,252.73,7670,2993.08
Dima Hasao,32,23,37,728,698.73
Goalpara,73,1148,709.59,8621,3385.59
Golaghat,127,425,395.98,13082,5003.87
Hailakandi,47,40,59.8,988,731.82
Hojai,60,364,184.9,2803,1265.02
Jorhat,139,61,106.81,21012,5034.22
Kamrup Metro,179,1810,767.87,30504,6417.6
Karbi Anglong,68,854,825.41,6220,5717.1
Karimganj,95,757,432.3,5778,2924.57
Kokrajhar,59,799,442.93,7641,3286.07
Lakhimpur,94,444,254.17,7923,2613.06
Majuli,17,242,80.5,2337,514.16
Morigaon,68,27,31.5,1993,834.39
Nagaon,157,821,453.91,20051,5273.55
Nalbari,89,859,570.26,14702,4088.42
Sivasagar,106,488,879.9,6165,5687.94
Sonitpur,135,1059,494.11,15058,3987.11
South Salmara,16,0,0,81,80.05
Tamulpur,22,13,15.27,1073,636.94
Tinsukia,155,679,301.47,8881,3006.49
Udalguri,52,622,324.52,6420,2441.86
West Karbi Anglong,22,24,44,1302,1251.78
