District,Total Branch,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt
Bajali,32,22032,15609.97,1727,1291.78,696,836.13,16,0.75,2575,5108.47,7360,2051.63,5445,3769.15,537,0.76,1034,611.49,41422,29280.13
Baksa,39,14179,10966.44,889,1222.5,4487,6318.43,14,8.49,4461,10932.02,4035,1330.18,1766,2608.44,317,1.2,1584,1275.18,31732,34662.88
Barpeta,93,55908,46664.84,5151,3567.25,1659,1994.47,93,12.44,12768,17393.38,24795,10097.37,33277,47430.9,545,5.18,5523,6053.43,139719,133219.26
Biswanath,60,26015,19937.31,3812,3636.59,5897,4208.88,12,1.01,8408,17641.59,12806,4660.78,3443,4522.65,169,1.83,4338,2855.28,64900,57465.92
Bongaigaon,66,26253,24548.41,3756,3351.95,2185,4643.27,23,4.6,4537,9924.86,12161,6791.47,9732,14803.65,980,7.9,3994,5400.57,63621,69476.68
Cachar,169,66309,40687.72,20987,14443.03,4871,4534.22,12,0.91,9342,11387.07,63158,25887.67,32320,44781.48,2200,21.48,9667,11752.81,208866,153496.39
Charaideo,37,14609,11421.65,736,909.91,721,682.03,3,0.16,3473,7766.8,8647,2885.03,752,1460.98,130,0.09,1494,1683.47,30565,26810.12
Chirang,40,15614,13570.56,1462,1326.25,8740,10534.43,6,0.69,3850,9275.85,7470,2920.62,3087,3610.38,65,0.73,1896,2040.39,42190,43279.9
Darrang,71,51542,37987.1,2080,1675.55,1282,1428.27,13,1.33,7955,16130.6,19553,6415.46,19526,28084.01,928,3.18,4119,3735.16,106998,95460.66
Dhemaji,48,32111,28108.71,2724,2736.55,11210,14595.22,2,0.06,7329,16545.58,10870,4136.34,233,433.41,151,0.35,5609,5598.17,70239,72154.39
Dhubri,91,37615,25131.19,4023,2945.02,1726,1304.82,12,0.92,8602,12177.7,24247,8154.38,22820,28514.8,667,1.26,6024,6130.73,105736,84360.82
Dibrugarh,191,76615,56054.84,7746,7818.67,9141,11298.72,157,12.36,8087,19404.14,48083,20276.22,3144,10502.82,617,3.45,8974,9912.59,162564,135283.81
Dima Hasao,32,2616,3734.59,453,351.08,2340,5584.46,14,0.48,1431,2931,1848,832.26,1221,2701.36,165,2.45,757,978.47,10845,17116.15
Goalpara,73,27518,20974.18,1980,2110.33,6048,5108.83,15,2.02,9248,16499.09,21305,9628.35,16617,21904.31,279,1.5,4081,3981.62,87091,80210.23
