district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No,Farm Mechanisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Bajali,32,136,209.44,0,0,545,527.28,4962,2402.38,105,107.11,67,49.19,0,0,0,0,1081,1244.83,6896,4540.23
Baksa,39,185,208.84,4,3.25,174,246.48,281,248.46,47,63.19,32,46.43,0,0,0,0,1240,3407.84,1963,4224.49
Barpeta,93,1257,844.28,1,1.29,1407,1279.16,6921,4056.97,296,318.03,398,321.45,1,6.42,0,0,3816,9553.53,14097,16381.13
Biswanath,60,679,536.59,2,20.12,39,49.2,291,145.53,83,110.81,15,91.46,0,0,0,0,1755,5021.6,2864,5975.31
Bongaigaon,66,197,101.32,1,1.23,1723,905.03,2903,1329.75,275,382.18,66,31.3,2,104.57,1,11.25,1641,3363.31,6809,6229.94
Cachar,169,1361,680.52,4,2.2,1298,1904.09,3043,1174.48,461,1283.39,320,693.83,8,59.37,4,7.78,5026,7972.01,11525,13777.67
Charaideo,37,205,187.47,1,2.36,57,70.63,16,15.48,128,178.89,3,3.89,1,0.65,0,0,492,947.78,903,1407.15
Chirang,40,1052,591.84,1,0.43,150,127.77,14,16.47,63,84.7,375,103.64,0,0,0,0,1499,2864.16,3154,3789.01
Darrang,71,960,621.81,13,9.33,938,1581.6,3844,1881.16,152,221.47,287,634.09,1,19.29,1,11.83,2454,7312.32,8650,12292.9
Dhemaji,48,667,480.17,1,0.28,83,155.07,1975,1715.5,260,271.21,21,27.28,0,0,0,0,1975,3991.72,4982,6641.23
Dhubri,91,444,311.47,8,4.33,493,285.9,1728,462.35,170,119.85,112,60.76,0,0,7,7.37,2307,3806.7,5269,5058.73
Dibrugarh,191,4678,2842.71,0,0,748,948.51,3147,1875.96,350,418.06,61,114.08,1,2.58,18,56.84,4507,20499.1,13510,26757.84
Dima Hasao,32,90,66.3,0,0,22,19.56,6,9.83,140,84.31,8,4.41,0,0,0,0,175,374.33,441,558.74
Goalpara,73,587,269.47,24,14.01,352,255.19,647,628.18,440,326.35,1212,314.64,6,0.95,0,0,2392,5179.06,5660,6987.85
Golaghat,127,1793,757.28,2,0.78,476,298.94,5096,2578.25,143,272.85,35,56.56,3,427.65,0,0,3871,11303.61,11419,15695.92
Hailakandi,47,639,402.34,0,0,473,757.76,23,28.14,217,391.05,33,43.49,0,0,1,3.01,1650,2637.79,3036,4263.58
Hojai,60,681,277.36,0,0,873,1025.67,1246,747.26,102,116.08,170,178.93,0,0,0,0,1675,2598.5,4747,4943.8
Jorhat,139,2286,1027.38,8,12.33,1207,1140.47,1095,681.89,172,286.95,57,86.76,0,0,2,4.42,3326,10639.14,8153,13879.34
Kamrup,179,2858,1417.84,3,1.04,929,1001.05,2270,1268.33,762,988.57,313,374.2,2,0.95,3,4.36,6236,13240.27,13376,18296.61
Kamrup Metro,471,356,997.81,0,0,2080,2609.4,4565,3747.83,735,2183.63,267,699.4,13,566.31,5,33.91,10355,45643.04,18376,56481.33
Karbi Anglong,68,2043,615.36,0,0,372,207.44,695,315.14,46,80.07,42,59.6,0,0,0,0,628,3128.29,3826,4405.9
Karimganj,95,269,208.37,3,1.52,635,913.42,537,178.21,117,263.61,301,556.28,0,0,0,0,1402,2662.5,3264,4783.91
Kokrajhar,59,198,193.17,0,0,546,532.29,662,126.74,315,327.44,60,133.51,0,0,1,6.74,1382,3107.59,3164,4427.48
Lakhimpur,94,597,741.42,3,1.37,529,771.64,5771,2486.98,273,586.29,126,200.19,1,2.55,3,3.91,3248,6623.33,10551,11417.68
Majuli,17,40,18.14,0,0,8,13.22,23,33.07,9,23.49,6,4.3,0,0,0,0,89,119.09,175,211.31
Morigaon,68,698,695.91,0,0,1008,1418.56,2466,1732.48,236,265.12,298,674.62,1,13.53,1,4.61,3531,4829.31,8239,9634.14
Nagaon,157,6128,2540.17,0,0,1933,1720.07,8145,4668.48,242,389.08,127,471.78,0,0,20,39.67,5064,7519.44,21659,17348.69
Nalbari,89,1690,785.65,13,8.11,784,864.57,5130,2626.14,642,589.6,174,173.51,1,1.49,3,8.58,3275,6958.05,11712,12015.7
Sivasagar,106,699,465.7,1,1.43,8903,3099.23,1351,870.24,1199,1509.43,70,74.21,1,2,1,4.63,7101,8230.41,19326,14257.28
Sonitpur,135,1166,988.35,2,1.3,375,509.86,5733,3165.9,504,601.75,84,136.13,0,0,2,15.48,3071,8903.54,10937,14322.31
South Salmara,16,0,0,0,0,0,0,1,0.9,1,5.76,0,0,0,0,0,0,17,26.76,19,33.42
Tamulpur,22,220,101.92,0,0,28,48.03,8,11.49,19,29.94,5,17.41,0,0,0,0,356,747.91,636,956.7
Tinsukia,155,4424,2409.94,44,19.11,1379,2175.58,1509,1159.06,428,909.08,80,89.83,0,0,6,64.87,3344,16043.17,11214,22870.64
Udalguri,52,1358,569.62,1,0.51,88,146.73,1889,788.04,190,231.37,57,98.1,1,0.2,0,0,1160,2188.18,4744,4022.75
West Karbi Anglong,22,5,6.62,0,0,53,55.5,0,0,2,9.11,6,2.21,0,0,0,0,55,123.36,121,196.8
