District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,OPS Total O/S No.,OPS Total O/S Amt
Bajali,32,0,0,107,293.15,1389,8002.59,0,0,21,7.65,2444,3196.9,3961,11500.29
Baksa,39,0,0,67,189.43,568,5801.41,0,0,28,6.25,854,683.73,1517,6680.82
Barpeta,93,0,0,404,1217.99,2298,22458.89,0,0,316,151.7,13741,5911.91,16759,29740.49
Biswanath,60,0,0,170,523.09,1282,9786.77,0,0,0,0,7145,6546.04,8597,16855.9
Bongaigaon,66,0,0,173,636.97,1887,16833.1,1,0,66,34.05,11192,5155.74,13319,22659.86
Cachar,169,0,0,1219,3241.88,3573,29058.86,11,29.18,13,2.49,44352,21426,49168,53758.41
Charaideo,37,0,0,73,195.73,398,3219.68,0,0,31,13.55,4454,10307.81,4956,13736.77
Chirang,40,0,0,64,225.47,598,5615.5,0,0,92,20.99,5301,2124.97,6055,7986.93
Darrang,71,0,0,397,1265.92,1487,13315.98,2,9.77,26,13.16,7735,3178.31,9647,17783.14
Dhemaji,48,0,0,184,563.04,1598,14031.82,0,0,13,2.78,5993,3778.56,7788,18376.2
Dhubri,91,0,0,194,701.7,1877,16038.75,3,0.43,189,114.45,15925,6717.58,18188,23572.91
Dibrugarh,191,0,0,912,2882.19,4471,40243.11,3,14.31,8,2.77,17281,10738.12,22675,53880.5
Dima Hasao,32,0,0,37,111.79,387,3344.34,0,0,0,0,101,1251.89,525,4708.02
Goalpara,73,0,0,160,627.51,1119,10206.32,8,1.16,338,225,13111,6774.38,14736,17834.37
Golaghat,127,0,0,412,1326.86,2317,18938.04,2,10.12,0,0,16393,8920.9,19124,29195.92
Hailakandi,47,0,0,93,249.69,888,6447.17,0,0,19,10.36,5814,2939.48,6814,9646.7
Hojai,60,0,0,160,608.33,894,7389.88,0,0,0,0,7176,20049.03,8230,28047.24
Jorhat,139,0,0,913,3079.58,4521,41756.5,1,39.69,0,0,15412,5766.91,20847,50642.68
Kamrup Metro,179,0,0,1471,5248.05,6583,36662.42,4,28.58,10,4.85,31348,16681.09,39416,58624.99
Karbi Anglong,68,0,0,111,292.89,2035,20478.38,0,0,0,0,3060,1606.38,5206,22377.65
Karimganj,95,0,0,135,385.74,1118,7024.5,0,0,7,3.91,16184,13850.65,17444,21264.8
Kokrajhar,59,0,0,146,425.55,1069,10681.68,0,0,10,7.16,11995,5171.86,13220,16286.25
Lakhimpur,94,0,0,391,1150.97,3272,26617.88,2,9.53,53,22.91,7995,11151.56,11713,38952.85
Majuli,17,0,0,33,66.01,318,2462.75,0,0,0,0,781,816.2,1132,3344.96
Morigaon,68,0,0,162,515.4,1520,11681.14,0,0,20,7.75,6069,25588.13,7771,37792.42
Nagaon,157,0,0,366,1197.21,4293,36274.98,3,138.26,5,0,20654,19653.88,25321,57264.33
Nalbari,89,0,0,417,1341.04,2466,23100.11,2,32.65,5,0.9,11019,5454.3,13909,29929
Sivasagar,106,0,0,355,1154.68,2662,21989.66,1,6.09,3,2.12,11381,10117.19,14402,33269.74
Sonitpur,135,0,0,623,2138.85,4132,35709.77,0,0,0,0,17048,23938.84,21803,61787.46
South Salmara,16,0,0,21,63.61,277,2653.02,0,0,6,4.34,377,580.2,681,3301.17
Tamulpur,22,0,0,72,193.74,372,3523.62,0,0,9,1.75,1193,648.62,1646,4367.73
Tinsukia,155,0,0,653,2311.15,2787,23530.05,1,0,11,4.86,15617,10277.46,19069,36123.52
Udalguri,52,0,0,350,1016.42,1752,16793.21,0,0,1,0.29,6973,5791.55,9076,23601.47
West Karbi Anglong,22,0,0,15,66.04,545,5568.94,0,0,5,0.39,5,3.13,570,5638.5
