District,Total Branch,Christians No.,Christians Amt,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt
Bajali,32,18,77.83,6890.81,2,1.12,2,13.27,0,0,5,13.87,8818,6996.9
Baksa,39,59,170.15,4796.65,13,40.76,3,3.32,0,0,5,4.13,3279,5015.01
Barpeta,93,159,530.98,114364.32,34,54.33,6,24.83,0,0,21,334.47,79987,115308.93
Biswanath,60,400,482.05,9101.61,15,26.65,15,67.55,1,0.06,12,120.25,8839,9798.17
Bongaigaon,66,877,2062.78,41269.68,178,156.99,23,91.95,49,12.42,50,238.06,24849,43831.88
Cachar,169,1973,5319.24,101810.7,60,203.17,55,235.7,4,8.57,59,430.03,73057,108007.41
Charaideo,37,148,187.02,2774.47,66,188.26,26,95.4,5,12.56,7,13.67,1808,3271.38
Chirang,40,2507,2340.76,8653.74,40,23.89,8,24.79,6,5.18,2,0.72,9472,11049.08
Darrang,71,283,543.56,57602.06,43,157.45,15,43.72,1,0.74,19,552.64,48405,58900.17
Dhemaji,48,117,370.47,1211.59,25,138.26,22,110.04,1,4.8,8,23.91,796,1859.07
Dhubri,91,1045,905.63,84568.24,9,15.4,31,153.29,0,0,26,255.18,67753,85897.74
Dibrugarh,191,1118,2869.05,21322.97,216,732.25,271,1263.69,9,12.46,101,640.34,11186,26840.76
Dima Hasao,32,2979,9616.1,1265.2,7,27.89,6,21.53,0,0,0,0,3348,10930.72
Goalpara,73,3402,2576.44,53128.58,11,16.33,12,46.54,14,12.31,12,127.05,38744,55907.25
Golaghat,127,1505,1525.5,15201.34,768,466.04,61,205.16,4,2.28,51,231.56,13769,17631.88
Hailakandi,47,219,435.86,36597.18,2,6.17,7,4.03,0,0,2,3.77,26077,37047.01
Hojai,60,290,792.24,32671.9,17,79.02,44,215.26,1,6.88,10,14.84,21555,33780.14
Jorhat,139,850,2760.21,16863.4,418,775.61,139,1098.74,5,37.94,95,967.48,9029,22503.38
Kamrup Metro,179,979,1523.76,76996.43,293,283,37,196.66,0,0,52,1211.81,59490,80211.66
Karbi Anglong,68,2834,5599.71,2832.44,67,229.75,29,214.06,1,0.56,10,290.13,4391,9166.65
Karimganj,95,443,649.19,44283.72,7,22.08,21,76.61,1,6.53,14,159.81,30844,45197.94
Kokrajhar,59,4557,4181.73,23283.79,8,18,14,50.91,4,251.98,12,84.82,21589,27871.23
Lakhimpur,94,1035,1796.87,26039.38,63,227.55,39,135.76,22,17.63,252,814.54,22897,29031.73
Majuli,17,9,27.59,121.18,4,5.39,0,0,0,0,0,0,55,154.16
Morigaon,68,130,304.57,30929.55,33,43.78,18,43.53,1,0.28,8,23.42,28082,31345.13
Nagaon,157,921,1116.98,123790.14,56,57.45,152,747.04,12,5.56,34,78.35,107353,125795.52
Nalbari,89,80,231.05,35839.66,22,32.67,33,41.01,3,2.32,69,1057.82,26629,37204.53
Sivasagar,106,366,588.86,29648.52,475,531.46,54,190.18,1,2.84,51,192.66,20935,31154.52
Sonitpur,135,1325,3321.44,36306.6,241,3037.98,121,594.07,2,0.97,187,2802.69,32646,46063.75
South Salmara,16,22,94.31,12091.9,1,0.66,3,32.79,0,0,0,0,5745,12219.66
Tamulpur,22,68,189.6,2481.5,2,0.91,5,12.23,0,0,2,5.1,1388,2689.34
Tinsukia,155,1262,4550.48,10405.77,697,2532.57,168,1761.9,1,0.32,71,961,7247,20212.04
Udalguri,52,5001,8978.65,11986.55,14,6.87,7,26.17,5,3.27,5,3.45,11556,21004.96
West Karbi Anglong,22,424,1189.97,185.81,2,6.72,5,20.25,1,0.39,0,0,474,1403.14
