District,Total Branch,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mech No.,Farm Mech Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC- Agri Disb No.,Total IC- Agri Disb Amt
Bajali,32,140,151.6,0,0,64,65.46,160,185.28,2,4,9,9.17,0,0,0,0,227,376.37,602,791.88
Baksa,39,64,19.99,0,0,20,16.78,9,38.41,11,3.96,9,8.54,0,0,0,0,112,647.57,225,735.25
Barpeta,93,155,45.41,0,0,294,190.25,244,940.54,74,47.22,116,57.66,0,0,0,0,736,4087.19,1619,5368.27
Biswanath,60,93,19.09,0,0,5,9.25,9,28.09,19,7.05,6,0.12,0,0,0,0,174,1376.12,306,1439.72
Bongaigaon,66,15,19.22,0,0,198,121.27,63,253.61,87,189,9,12.37,0,0,1,4.75,404,764.21,777,1364.43
Cachar,169,160,76.51,0,0,250,302.06,106,352.79,102,121.28,49,26.13,0,0,0,0,839,3027.22,1506,3905.99
Charaideo,37,26,2.29,0,0,4,2.84,1,0,12,9.3,0,0,0,0,0,0,33,423.86,76,438.29
Chirang,40,36,3.72,0,0,10,3.65,0,0,9,7.91,122,41.15,0,0,0,0,134,296.96,311,353.39
Darrang,71,127,44.41,0,0,214,296.68,235,796.14,27,27.2,42,32.82,0,0,0,0,709,3574.99,1354,4772.24
Dhemaji,48,56,15.36,0,0,8,14.52,93,371.63,89,71.2,2,1.19,0,0,0,0,270,937.5,518,1411.4
Dhubri,91,148,2.31,0,0,170,56.93,65,80.53,46,11.65,37,17.16,1,41.31,0,0,510,895.82,977,1105.71
Dibrugarh,191,138,60.5,0,0,154,196.47,122,425.21,76,82.69,14,57.4,0,0,0,0,634,8215.62,1138,9037.89
Dima Hasao,32,0,0,0,0,3,4.25,0,0,0,0,0,0,0,0,0,0,46,134.54,49,138.79
Goalpara,73,163,8.02,0,0,87,14.44,91,161.85,101,76.58,226,87.73,0,0,0,0,359,1012.68,1027,1361.3
Golaghat,127,65,16.48,0,0,13,19.39,119,470.5,16,30.81,5,3,0,0,0,0,672,4314.82,890,4855
Hailakandi,47,32,31.29,0,0,54,61.25,2,6,43,79.63,2,3.24,0,0,0,0,476,593.46,609,774.87
Hojai,60,34,26.21,0,0,175,177.04,50,165.86,12,8.09,8,3.77,0,0,0,0,189,602.19,468,983.16
Jorhat,139,63,22.25,0,0,163,244.55,75,254.31,29,41.11,11,19.49,0,0,0,0,675,6330.18,1016,6911.89
Kamrup Metro,179,227,118.68,0,0,98,113.73,77,319.83,142,160.18,54,50.83,0,0,0,0,993,3175.73,1591,3938.98
Karbi Anglong,68,39,11.71,0,0,38,63.75,24,74.59,15,17.1,13,6.07,0,0,0,0,63,403.42,192,576.64
Karimganj,95,27,45.63,0,0,103,138.74,63,19.93,13,24.83,32,117.48,0,0,0,0,182,576.87,420,923.48
Kokrajhar,59,109,11.36,0,0,110,91.12,12,34.63,90,56.73,34,48.2,0,0,0,0,305,581.18,660,823.22
Lakhimpur,94,199,374.3,0,0,76,129.14,146,614.72,48,50.69,8,3.36,0,0,0,0,600,3132.28,1077,4304.49
Majuli,17,11,1.76,0,0,0,0,0,0,2,1.96,2,1.76,0,0,0,0,5,8.83,20,14.31
Morigaon,68,171,44.48,0,0,176,174.89,79,328.91,24,6.42,24,26.71,0,0,0,0,711,1604.11,1185,2185.52
Nagaon,157,80,190247.02,0,0,235,249.17,353,1415.03,42,39.2,15,37.86,0,0,0,0,1169,2773.49,1894,194761.77
Nalbari,89,292,58.52,0,0,114,109.46,131,554.75,148,126.29,33,17.28,0,0,1,3.41,1182,4322.99,1901,5192.7
Sivasagar,106,109,45.1,0,0,364,278.95,71,230.32,175,209.86,4,14,1,2,0,0,1819,2503.48,2543,3283.71
Sonitpur,135,226,104.34,0,0,72,81.69,157,528.59,140,78.24,14,6.52,0,0,1,0,465,3963.25,1075,4762.63
South Salmara,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15,1,0.15
Tamulpur,22,8,8.26,0,0,5,2.49,0,0,3,2.89,0,0,0,0,0,0,8,89.05,24,102.69
Tinsukia,155,145,122.77,0,0,372,748.06,120,432.84,109,253.63,7,18.65,0,0,0,0,659,11153.29,1412,12729.24
Udalguri,52,104,9.05,0,0,2,4.64,4,0,32,7.97,3,3.09,0,0,0,0,71,74.79,216,99.54
West Karbi Anglong,22,1,1.6,0,0,6,19.32,0,0,1,0.01,1,0.84,0,0,0,0,7,10,16,31.77
