District,Total Branch,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amt,Number of rupay card Issued,KCC Card activated,No. of KCC for animal husbandary issued during quarter (Including renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount,AH Number of rupay card Issued,AH Card activated,No. of KCC for Fishries issued during quarter (including renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total no. of KCC,Fishery Outstanding amount,Fishery Number of rupay card Issued,Fishery Card activated
Bajali,32,891,1662.13,15249,10941.91,4782,2549,20,20.38,154,197.71,35,33,0,0.11,48,110.72,22,22
Baksa,39,345,350.51,11791,7585.18,5484,4246,5,7.92,90,155.01,18,16,3,5.3,29,41.15,15,12
Barpeta,93,2174,4554.76,48429,37284.53,20298,11938,61,23.51,668,596.72,16,16,15,13.62,220,299.98,20,18
Biswanath,60,856,1663.12,22416,16879.4,9125,5560,4,4.03,184,193.1,24,20,0,3.65,32,71.01,3,3
Bongaigaon,66,1099,4493.88,16055,15087.18,7957,6731,1,1,115,65.06,15,8,3,5.72,32,52.89,4,3
Cachar,169,794,1458.98,49743,25565.32,14347,9220,5,6.4,158,146.99,8,4,26,13.65,381,456.88,74,67
Charaideo,37,468,642.61,10124,6421.75,4756,4265,8,6.64,145,131.41,6,6,1,2,24,28.07,3,3
Chirang,40,721,1244.96,14623,11232.42,8516,4932,1,1.31,45,60.2,4,2,1,0,11,6.48,1,1
Darrang,71,1750,3779.49,34470,26147.05,15769,9342,5,1.28,289,299.79,27,21,63,77.22,383,689.16,29,24
Dhemaji,48,1160,1927.91,28931,21497.4,9948,5484,1,1.95,386,377.54,26,26,3,7.68,80,92.93,18,12
Dhubri,91,1124,2232.87,29822,19481.94,9557,6193,0,0,196,213.83,20,20,13,10.15,73,68.93,2,2
Dibrugarh,191,3842,5108.78,63917,46432.61,35253,16538,12,12.55,210,235.02,54,32,6,7.21,54,70.66,8,8
Dima Hasao,32,35,77.76,1478,572.37,196,132,6,3.6,110,79.63,45,41,0,0,24,10.59,6,6
Goalpara,73,1416,2557.45,24066,16595.76,13586,10522,1,0.3,187,166.69,14,10,1,2.3,27,20.48,6,5
Golaghat,127,1607,3049.69,57395,35131.35,22631,9754,6,4.33,238,157.54,20,14,16,49.24,63,83.15,3,3
Hailakandi,47,307,469.55,16453,7630.29,7403,4991,8,9.17,95,84.41,21,21,5,3.24,43,31.76,7,6
Hojai,60,673,1701.44,20672,12543.26,6736,3329,20,10.65,103,53.56,9,1,6,4.1,51,30.85,0,0
Jorhat,139,1720,2292.01,43701,21941.31,20330,7038,15,7.49,198,183.43,80,27,2,4.5,73,72.93,7,6
Kamrup Metro,179,1940,3250.14,62890,43982.67,34645,19905,12,16.8,264,302.79,73,48,5,25.15,154,418.39,18,18
Karbi Anglong,68,847,771.41,30056,17808.21,6320,2698,6,7.63,185,155.59,9,9,8,8.69,97,102.42,5,1
Karimganj,95,410,776.46,21755,11370.45,4317,2623,3,5.32,66,98.06,14,11,4,36.08,147,248.71,27,27
Kokrajhar,59,1121,2685.82,24384,21211.83,11012,8855,13,18.91,169,165.6,1,1,2,4.19,130,110.63,8,8
Lakhimpur,94,3087,4224.36,60956,41821.58,19842,14031,11,10.64,208,155.36,17,8,10,7.52,130,210.21,4,2
Majuli,17,183,420.53,5664,2770.03,1876,1248,0,0,18,11.99,0,0,11,4.76,94,27.71,0,0
Morigaon,68,1145,1762.03,38575,23809.82,14222,10552,13,15.3,442,460.86,165,162,29,24.85,375,644.83,85,85
Nagaon,157,3246,6016.23,78959,51534.08,33293,17093,41,35.17,514,417.27,196,178,41,163.04,651,1032.23,151,136
Nalbari,89,1349,2680.85,37142,21863,13280,8843,12,14.26,628,472.75,132,95,8,18.42,151,129.37,23,22
Sivasagar,106,1277,2293.28,27111,14729.5,9874,5181,18,23.96,396,334.95,34,14,3,5.65,203,162.4,79,7
Sonitpur,135,1709,2865.17,32389,23465.92,15290,9870,11,22.19,321,415.58,109,72,6,11.67,108,167.17,12,9
South Salmara,16,58,22.97,2036,842.35,366,297,0,0,7,10.08,0,0,1,0.93,28,32.7,2,0
Tamulpur,22,173,318.43,5483,4319.03,2346,1290,0,0,19,52.16,0,0,0,0,6,5.02,1,1
Tinsukia,155,1963,3869.39,43837,35138.1,23789,13236,22,53.12,343,436.68,55,51,15,44.25,137,226.12,4,4
Udalguri,52,900,824.81,30051,20817.93,16484,12126,0,0,101,113.69,7,6,5,3.09,101,181.19,1,1
West Karbi Anglong,22,248,164.87,10289,5091.32,730,270,0,0,13,7.74,0,0,0,0,8,1.33,0,0
