district,Total Branch,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Bajali,32,151,226.01,1946,2697.15,93,379.02,1254,3632.95
Baksa,39,93,371.85,1336,3257.22,511,1508.83,7740,18887.53
Barpeta,93,543,721.07,5574,6312.82,166,787.46,2662,7611.75
Biswanath,60,372,695.95,4677,6199.9,351,695.77,9176,9506.7
Bongaigaon,66,479,1012.19,5131,9307.71,274,3235.29,4852,17589.35
Cachar,169,2446,3155.5,22170,23608.25,289,630.76,3837,9260.76
Charaideo,37,52,108.41,703,1062,54,220.84,800,1992.12
Chirang,40,238,413.66,2453,3547.74,840,3874.68,15283,32058.06
Darrang,71,150,171.35,2166,3130.58,130,330.48,1611,3948.36
Dhemaji,48,185,700.5,3068,5573.92,1532,4861.63,23754,50553.65
Dhubri,91,353,777.45,4089,5552.76,75,315.3,3571,5014.08
Dibrugarh,191,862,1743.92,9107,16122.47,1353,3457.67,12959,31833.82
Dima Hasao,32,35,109.34,526,1643.79,467,2260.03,6416,22075.74
Goalpara,73,189,387.07,2727,4323.86,631,1492.19,10260,16080.54
Golaghat,127,717,1002.77,8255,10442.67,768,1617.02,13149,18859.52
Hailakandi,47,384,621,3453,4635.62,41,103.9,828,1522.13
Hojai,60,567,1087.97,5806,7901.19,201,700.82,2779,6944.94
Jorhat,139,697,1261.55,9551,13657.58,743,2110.06,14338,21945.15
Kamrup,179,1025,1749.55,11321,12588.87,1045,2403.2,13075,22411.97
Kamrup Metro,471,1941,5093.54,16904,46798.21,3160,8818.03,28117,86619.6
Karbi Anglong,68,85,528,1255,3716.58,1496,6023.7,20251,56830.7
Karimganj,95,1054,1155.8,9970,8748.95,94,147.7,1022,1644.76
Kokrajhar,59,279,784.49,2676,5506.68,1595,8271.56,23976,74924.73
Lakhimpur,94,624,1348.89,7994,12001.67,2360,3919.1,25852,47773.81
Majuli,17,71,222.79,1506,2637.5,207,820.09,4611,10367.81
Morigaon,68,355,1004.62,6219,7054.14,622,1422.9,12045,14157.53
Nagaon,157,828,1830.37,12065,13452.88,574,1498.19,8518,14916.05
Nalbari,89,265,607.67,4031,5227.66,179,348.3,2855,5878.99
Sivasagar,106,452,819.35,5595,9377.3,354,1163.92,4544,10619.63
Sonitpur,135,627,1148.99,7144,12154.02,654,3381.28,9266,19594.67
South Salmara,16,10,31.94,97,287.63,10,41.77,110,369.17
Tamulpur,22,39,169.06,1042,1899.61,217,1009.62,4257,10623.09
Tinsukia,155,431,757.07,4314,7850.19,768,2293.59,8839,22227.05
Udalguri,52,136,402.95,2320,3667.39,1414,3968.53,28579,46001.3
West Karbi Anglong,22,37,96.72,347,839.63,332,1038.32,4775,12770.74
