District,Total Branch,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt,MUDRA NPA Amt. %
Bajali,32,7127,1257.96,4348,771.92,6694,6092.41,591,558.48,453,2471.26,26,136.12,14274,9821.63,4965,1466.52,14.93
Baksa,39,1741,450.89,393,221.49,4497,5089.74,663,983.62,245,1384.62,16,78.34,6483,6925.25,1072,1283.45,18.53
Barpeta,93,23564,5208.95,6486,1333.07,22952,21961.05,1957,2672.31,1782,8875.82,116,580.09,48298,36045.82,8559,4585.47,12.72
Biswanath,60,7575,1618.98,2279,430.72,10401,8086.49,724,714.89,491,3025.66,34,196.28,18467,12731.13,3037,1341.89,10.54
Bongaigaon,66,15308,2859.01,3190,561.61,10373,9378.86,566,581.81,1089,4955.44,55,312.15,26770,17193.31,3811,1455.57,8.47
Cachar,169,48457,10160.94,10162,2627.94,50980,40141.14,3270,3123.12,2787,13068.88,194,1071.49,102224,63370.96,13626,6822.55,10.77
Charaideo,37,6636,1377.72,1303,260.56,5767,5529.24,371,472.66,454,2233.36,20,73.73,12857,9140.32,1694,806.95,8.83
Chirang,40,7216,1535.53,1371,241.43,7543,6662.06,884,1033.39,270,1628.72,22,88.88,15029,9826.31,2277,1363.7,13.88
Darrang,71,18177,3739.74,6083,1232.97,15237,14223.54,1310,1755.84,1332,7403.14,193,1068.75,34746,25366.42,7586,4057.56,16
Dhemaji,48,8797,1945.82,2442,458.52,7951,8359.55,1167,1426.77,921,4706.14,80,366.77,17669,15011.51,3689,2252.06,15
Dhubri,91,21090,4022.49,7158,1228.79,18836,16927.24,2150,1756.25,893,5126.67,98,366.87,40819,26076.4,9406,3351.91,12.85
Dibrugarh,191,29434,5539.47,7815,1408.73,31885,28755.21,2405,3181.89,2618,14122.02,318,1678.73,63937,48416.7,10538,6269.35,12.95
Dima Hasao,32,1382,251.24,318,397.61,1559,2226.71,125,176.65,208,1261.95,11,57.54,3149,3739.9,454,631.8,16.89
Goalpara,73,17176,3479.27,4559,1088.52,13596,12641.42,968,953.79,787,4057.7,58,282.21,31559,20178.39,5585,2324.52,11.52
Golaghat,127,21523,4208.09,5946,1034.05,26517,20986.4,1742,1653.07,1577,7123.81,106,525.69,49617,32318.3,7794,3212.81,9.94
Hailakandi,47,7139,1393.64,1299,563.49,10602,9275.61,1071,1049.78,606,3162.79,63,296.07,18347,13832.04,2433,1909.34,13.8
Hojai,60,9802,2067.16,2599,459.19,12848,12106.81,1411,1567.06,1667,8639.83,206,898.58,24317,22813.8,4216,2924.83,12.82
Jorhat,139,24062,3930.53,9280,1152.25,24607,21168.59,1676,1748.29,1672,8398.09,158,765.79,50341,33497.21,11114,3666.33,10.95
Kamrup Metro,179,48458,9587.67,20846,2992.5,46472,36737.92,3576,2924.17,2121,11116.27,210,967.2,97051,57441.86,24632,6883.87,11.98
Karbi Anglong,68,4538,1078.77,715,277.34,5791,6537.27,313,391.64,451,2636.23,32,167.72,10780,10252.27,1060,836.7,8.16
Karimganj,95,20462,4174.97,4530,1041.9,22772,16864.06,1848,1802.63,1332,6817.5,140,893,44566,27856.53,6518,3737.53,13.42
Kokrajhar,59,15182,3445.54,1319,254.03,11180,9525.44,1008,1169.7,610,3114.11,28,136.34,26972,16085.09,2355,1560.07,9.7
Lakhimpur,94,16142,3310.63,5652,1322.05,19386,17754.13,2588,2625.96,1689,8074.03,205,983.11,37217,29138.79,8445,4931.12,16.92
Majuli,17,2746,605.63,445,73.63,971,1292.84,128,150.89,328,1140.52,40,132.67,4045,3038.99,613,357.19,11.75
Morigaon,68,7593,1755.49,1899,750.83,14024,13636.78,2085,2517.86,1559,6984.28,195,1052.25,23176,22376.55,4179,4320.94,19.31
Nagaon,157,34117,7071.82,14012,2469.43,38523,33350.71,3674,4016.19,2785,13861.86,426,2118.6,75425,54284.39,18112,8604.22,15.85
Nalbari,89,20083,4321.09,8104,1757.8,15854,13857.06,1875,1855.84,909,5180.52,77,416.13,36846,23358.67,10056,4029.77,17.25
Sivasagar,106,14599,2720.29,3048,742.66,21311,18605.2,1501,1634.72,1832,8289.47,110,536.06,37742,29614.96,4659,2913.44,9.84
Sonitpur,135,24135,4917.03,8386,1408.57,30179,25530.71,2290,2552.39,2068,11369.74,199,1000.12,56382,41817.48,10875,4961.08,11.86
South Salmara,16,358,109.92,117,33.7,1040,1396.88,325,284.56,125,724.3,11,61.91,1523,2231.1,453,380.17,17.04
Tamulpur,22,1323,327.83,261,81.87,3970,3481.26,255,488.42,95,472.39,4,26.04,5388,4281.48,520,596.33,13.93
Tinsukia,155,21226,3937.85,4567,797.66,23054,23970.12,2169,2648.71,2841,16436.46,278,1590.95,47121,44344.43,7014,5037.32,11.36
Udalguri,52,7773,2038.74,1005,346.87,7005,7279.03,1582,2142.65,317,1974.02,28,130.1,15095,11291.79,2615,2619.62,23.2
West Karbi Anglong,22,961,219.94,145,15.63,367,526.54,26,41.29,80,413.64,3,13.4,1408,1160.12,174,70.32,6.06
