district,Total Branch,Total Sourced Application,Total Sanctioned,Total Disbursed,Loan Application under process,Loan Rejected
Baksa,61,368,2,24,11,311
Barpeta,92,658,10,85,17,556
Biswanath,90,231,2,17,14,182
Bongaigaon,64,168,2,26,10,108
Cachar,167,433,2,23,52,335
Charaideo,36,192,10,35,1,113
Chirang,38,64,0,10,4,53
Darrang,71,182,2,16,18,134
Dhemaji,47,237,3,42,27,158
Dhubri,89,220,11,18,10,160
Dibrugarh,187,476,17,63,28,325
Dima Hasao,32,137,0,11,5,121
Goalpara,73,355,8,18,10,279
Golaghat,124,151,7,16,30,79
Hailakandi,46,528,11,64,13,384
Hojai,60,232,3,31,9,168
Jorhat,140,264,5,13,14,176
Kamrup Metro,179,463,6,51,37,354
Karbi Anglong,66,306,1,13,9,278
Karimganj,92,91,1,23,15,54
Kokrajhar,57,392,2,46,5,322
Lakhimpur,92,276,5,41,19,209
Majuli,17,79,0,4,3,56
Morigaon,68,202,2,16,10,147
Nagaon,156,490,5,22,20,393
Nalbari,88,0,1,0,16,0
Sivasagar,103,191,9,41,16,99
Sonitpur,133,352,6,35,19,244
South Salmara,15,45,0,3,3,30
Tinsukia,153,433,6,111,31,242
Udalguri,51,179,0,4,5,154
West Karbi Anglong,22,65,0,4,1,60
