District,Total Branch,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No.,MUSLIMS Amt,BUDDHISTS No.,BUDDHISTS Amt,SIKHS No.,SIKHS Amt,ZORASTRIANS No.,ZORASTRIANS Amt,JAINS No.,JAINS Amt,Tot Minority Disb No.,Tot Minority Disb Amt
Bajali,32,1,2,,994.35,0,0,1,8.9,0,0,1,0.2,568,1005.45
Baksa,39,5,9.2,,356.07,0,0,1,0.5,0,0,0,0,245,365.77
Barpeta,93,16,42.98,,11937.15,9,13.93,0,0,0,0,4,189.17,7271,12183.23
Biswanath,60,45,48.96,,1731.85,4,10.3,1,0.69,0,0,2,3.5,671,1795.3
Bongaigaon,66,41,755.45,,5587.32,18,15,2,11,0,0,7,15.75,2418,6384.52
Cachar,169,224,409.91,,9421.28,4,3.08,4,39.28,0,0,4,25.82,5638,9899.37
Charaideo,37,16,14.55,,379.01,2,0.13,1,1,0,0,4,1.63,160,396.32
Chirang,40,106,152.71,,1485.21,5,4.22,2,5.54,1,0.4,0,0,1039,1648.08
Darrang,71,15,36.49,,7657.79,0,0,0,0,0,0,5,159.84,4439,7854.12
Dhemaji,48,11,57.2,,148.63,5,6.9,2,12.1,0,0,1,0.25,83,225.08
Dhubri,91,26,53.14,,10155.91,2,9.36,1,3.5,0,0,1,115,6473,10336.91
Dibrugarh,191,151,354.69,,2990.11,24,49.36,25,69.13,1,5,8,71.54,1422,3539.83
Dima Hasao,32,279,1137.42,,80.98,0,0,0,0,0,0,0,0,304,1218.4
Goalpara,73,268,256.14,,5280.67,1,6,1,0.01,0,0,4,94,3343,5636.82
Golaghat,127,145,147.68,,1998.97,114,91.3,5,9.5,0,0,12,262.17,1459,2509.62
Hailakandi,47,18,27.97,,2767.78,0,0,1,0.34,0,0,0,0,1585,2796.09
Hojai,60,17,56.03,,3531.29,1,1.13,11,106.98,1,7,2,12.95,1438,3715.38
Jorhat,139,118,314.52,,2157.31,64,218.19,15,218,2,6.85,10,550.77,1021,3465.64
Kamrup Metro,179,81,188.58,,7909.53,31,32.12,5,40.28,0,0,14,302.79,5367,8473.3
Karbi Anglong,68,271,650.87,,299.72,3,9.91,0,0,0,0,4,16.81,352,977.31
Karimganj,95,71,83.29,,4877.32,1,0.5,3,4.4,0,0,3,97.59,2269,5063.1
Kokrajhar,59,260,537.33,,3057.15,1,5,2,19.61,0,0,1,3,2267,3622.09
Lakhimpur,94,78,122.56,,3135.6,0,0,5,10.81,0,0,1,0.34,2211,3269.31
Majuli,17,1,10,,0,0,0,0,0,0,0,0,0,1,10
Morigaon,68,8,31.83,,2387.42,0,0,0,0,0,0,1,0.96,2060,2420.21
Nagaon,157,130,252.77,,14823.9,8,12.1,10,76.96,1,0.5,5,20.41,9760,15186.64
Nalbari,89,7,3.4,,3684.94,0,0,1,3,0,0,7,587.78,2318,4279.12
Sivasagar,106,32,42.17,,4468.06,60,78.62,5,5.1,0,0,1,0.35,1887,4594.3
Sonitpur,135,136,287.48,,4077.97,25,1992.64,7,55.2,1,0.9,2,6.5,3216,6420.69
South Salmara,16,1,7,,1168.57,0,0,0,0,0,0,0,0,303,1175.57
Tamulpur,22,7,15.58,,209.86,1,0.5,0,0,0,0,0,0,124,225.94
Tinsukia,155,95,567.75,,1221.88,56,401.81,15,50.93,0,0,6,216.88,841,2459.25
Udalguri,52,212,612.22,,755.08,2,10.57,0,0,0,0,1,0.4,569,1378.27
West Karbi Anglong,22,55,137.7,,3.36,1,5.24,3,1.53,0,0,0,0,61,147.83
