District,Total Branch,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No of Zero Balance A/C,Amt Deposits held in the A/C,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Bajali,32,142476,45665,77519,110572,188091,21830,7282.59,89474,29104,90854
Baksa,39,307229,0,114300,192868,307168,24057,8102.09,149935,65107,144445
Barpeta,93,1110736,358919,677153,862534,1539687,186190,33088.67,815821,293938,652083
Biswanath,60,387889,48066,173340,262577,435917,50407,15357.29,197694,70814,179016
Bongaigaon,66,265733,173646,207098,294234,501332,57060,14975.92,318973,97919,205584
Cachar,169,912146,218559,496162,634488,1130650,130971,35355.56,727077,289348,483459
Charaideo,37,297271,34875,129915,202207,332122,39799,8993.5,174223,70912,127470
Chirang,40,374077,15041,150746,238247,388993,24764,11279.46,245397,96579,155097
Darrang,71,719449,261062,423980,556489,980469,120097,20138.16,469711,172877,406360
Dhemaji,48,590354,180212,325716,444679,770395,87332,15895.5,460211,120709,229923
Dhubri,91,1473976,340884,785250,1028858,1814108,305536,29937.47,863806,299747,790827
Dibrugarh,191,519639,189931,280027,433784,713811,87733,26766.12,468776,205186,245036
Dima Hasao,32,50417,17178,32797,37111,69908,2010,4412.8,37594,22260,25067
Goalpara,73,597905,265205,358800,505189,863989,94247,17084.72,451764,170730,408288
Golaghat,127,573578,183322,315072,457647,772719,97277,23578.29,470597,187517,352410
Hailakandi,47,385642,173095,248632,320367,568999,78887,14965.41,309048,126821,257324
Hojai,60,395859,333152,304823,424084,728907,83086,18189.74,567765,192146,350612
Jorhat,139,297234,220799,197761,320199,517960,82813,15633.74,350466,129867,223800
Kamrup Metro,179,1001446,103825,463662,640769,1104431,116918,32916.14,704347,328110,455970
Karbi Anglong,68,222674,45245,118835,174308,293143,16279,9543.07,91390,42740,104352
Karimganj,95,717949,106396,368005,456089,824094,123433,25928.62,516020,207780,372615
Kokrajhar,59,614821,93563,316184,426604,742788,79727,19719.69,363334,104422,318772
Lakhimpur,94,589235,193910,340830,471486,812316,93721,21489.07,540053,154371,299904
Majuli,17,124112,30586,66148,88532,154680,22747,2906.35,94399,38385,69401
Morigaon,68,764753,131825,377735,518507,896242,149308,14767.04,587044,227339,396274
Nagaon,157,1392415,587188,850971,1128466,1979437,277869,38109.4,1061188,333426,943845
Nalbari,89,434131,70266,219223,310782,530005,55235,16805.57,217120,91956,255401
Sivasagar,106,255880,93243,147138,217238,364376,37150,12992.15,275766,111818,156251
Sonitpur,135,584531,251608,372978,557922,930900,118241,30432.94,459493,165344,376211
South Salmara,16,255697,23115,109041,169716,278757,37400,3636.9,106286,22673,117770
Tamulpur,22,263034,0,104471,158438,262909,18374,8121.98,166449,67402,113545
Tinsukia,155,438154,373825,314830,496938,811768,108909,27571.58,506479,185860,276211
Udalguri,52,655140,114083,312968,456116,769084,90233,19600.12,353011,133853,276743
West Karbi Anglong,22,124012,0,51958,72044,124002,7386,3960.72,39414,13791,46753
