District,Total Branch,CY SANCTION A/C No.,CY SANCTION Amt,CY DISBURSED A/C No.,CY DISBURSED Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Amt. %
Bajali,32,24,72.27,24,71.77,202,688.22,88,143.92,20.91
Baksa,39,8,31.17,8,24.6,718,1200.09,457,634.6,52.88
Barpeta,93,40,349.91,44,280.78,1455,3417.48,598,1076.03,31.49
Biswanath,60,5,55.81,8,58.05,289,713.8,109,148.83,20.85
Bongaigaon,66,28,326.22,38,219.86,584,1284.14,261,370.8,28.88
Cachar,169,27,181.95,42,193.85,1053,2934.95,410,597.86,20.37
Charaideo,37,3,15.22,3,11.98,169,389.83,98,189.94,48.72
Chirang,40,13,51.88,7,18.58,1214,1521.95,952,973.57,63.97
Darrang,71,12,42.18,10,31.64,607,1208.22,332,480.3,39.75
Dhemaji,48,63,256.72,62,124.22,934,2423.31,370,640.09,26.41
Dhubri,91,52,196.68,32,78.05,1437,2271.63,737,857.6,37.75
Dibrugarh,191,51,268.15,47,185.8,1272,3763.36,541,934.83,24.84
Dima Hasao,32,3,9.5,7,21.3,253,591.28,79,135.94,22.99
Goalpara,73,9,20.08,8,12.69,704,1013.95,451,545.21,53.77
Golaghat,127,11,55.25,13,44.21,677,1584.66,356,647.48,40.86
Hailakandi,47,26,162.11,24,131.68,668,1798.63,249,387.01,21.52
Hojai,60,12,79.72,13,72.44,340,897.88,87,128.7,14.33
Jorhat,139,19,81.73,15,53.51,516,1219.99,233,322.08,26.4
Kamrup Metro,179,35,159.98,35,90.33,1363,2864.74,598,786.15,27.44
Karbi Anglong,68,10,30.35,7,4.95,426,613.93,221,187.27,30.5
Karimganj,95,16,44.59,16,64.82,586,1479.53,249,458.22,30.97
Kokrajhar,59,29,98.18,28,58.95,1650,2154.63,1227,1347.33,62.53
Lakhimpur,94,13,103.95,10,79.42,1075,3051.6,513,918.28,30.09
Majuli,17,3,3.98,3,3.5,180,336.76,48,69.34,20.59
Morigaon,68,14,59.61,15,44.67,737,1367.49,469,706.39,51.66
Nagaon,157,55,320.1,56,253.33,1145,3286.25,580,951.81,28.96
Nalbari,89,12,62.46,15,47.43,927,2123,473,758.99,35.75
Sivasagar,106,41,216.1,41,126.15,741,2509.47,251,469.85,18.72
Sonitpur,135,26,122.94,21,82.78,1079,2663.33,407,613.74,23.04
South Salmara,16,0,0,0,0,377,442.27,297,298.31,67.45
Tamulpur,22,11,23.68,13,19.42,146,293.78,96,144.03,49.03
Tinsukia,155,40,197.34,39,133.66,1266,3821.26,502,843.57,22.08
Udalguri,52,3,5.16,3,4.75,1389,2235.61,1264,1970.81,88.16
West Karbi Anglong,22,0,0,0,0,15,46.68,4,6.66,14.27
