district,Total Branch,Sep-I No.,Sep-I Amt,Sep-G No,Sep-G Amt.,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt.,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amount,NULM O/S No.,NULM O/S Amt.,NULM NPA No.,NULM NPA Amt.,NULM NPA Amt. %
Bajali,32,0,0,0,0,0,0,0,0,0,0,0,0,0,192,369.7,9,4.88,1.32
Baksa,39,0,0,0,0,0,1,0.8,1,0,0,0,1,0.8,68,233.33,15,10.2,4.37
Barpeta,93,2,0,0,0,0,7,14.35,96,9,17.35,95,9,14.35,983,1728.38,213,52.89,3.06
Biswanath,60,0,0,8,28,80,9,33,198,9,33,207,17,61,93,213.85,3,2.05,0.96
Bongaigaon,66,2,3,4,20,31,4,18.6,72,4,18.6,72,10,41.6,130,260.93,27,17.31,6.63
Cachar,169,1,1,19,41.15,127,39,106.71,147,41,115.71,154,59,148.86,435,737.2,68,32.39,4.39
Charaideo,37,3,4.07,0,0,0,0,0,0,0,0,0,3,4.07,27,25.8,8,3.8,14.73
Chirang,40,0,0,0,0,0,0,0,0,1,4,3,0,0,62,60.43,6,3,4.96
Darrang,71,0,0,0,0,0,14,45.84,23,16,48.04,33,14,45.84,336,608.49,28,20.82,3.42
Dhemaji,48,0,0,0,0,0,20,83.24,20,21,88.24,30,20,83.24,229,483.25,47,61.28,12.68
Dhubri,91,0,0,0,0,0,15,26.43,86,11,20.23,82,15,26.43,443,411.2,215,126.16,30.68
Dibrugarh,191,11,11.9,0,0,0,22,71.63,750,24,71.63,761,33,83.53,644,1612.58,70,47.34,2.94
Dima Hasao,32,1,0.03,3,6,30,3,6,30,3,6,30,7,12.03,62,101.95,17,17.76,17.42
Goalpara,73,0,0,3,10.5,30,7,12.1,34,5,16.5,30,10,22.6,177,193.71,107,89.88,46.4
Golaghat,127,0,0,0,0,0,6,21.16,26,5,19.16,35,6,21.16,214,500.88,22,9.28,1.85
Hailakandi,47,1,2,0,0,0,9,36.6,41,3,0.65,33,10,38.6,389,572.92,75,50.01,8.73
Hojai,60,0,0,0,0,0,0,0,0,1,6,10,0,0,366,582.91,60,32.59,5.59
Jorhat,139,0,0,4,3.22,32,16,42.99,25,21,55.99,35,20,46.21,923,2198.33,23,10.57,0.48
Kamrup,179,2,0,1,1.9,5,2,0,2,0,0,0,5,1.9,450,874.07,28,28.19,3.23
Kamrup Metro,471,10,5.47,4,5,23,83,295.51,206,86,310.31,245,97,305.98,984,1964.97,101,87.35,4.45
Karbi Anglong,68,0,0,3,17,30,3,17,30,3,17,30,6,34,55,119.74,1,0,0
Karimganj,95,0,0,4,7.5,40,8,13.33,51,4,7.5,47,12,20.83,263,421.55,90,47.15,11.18
Kokrajhar,59,0,0,1,2.7,0,1,0.01,1,0,0,0,2,2.71,67,57.32,8,7.2,12.56
Lakhimpur,94,2,3.9,0,0,0,17,67.11,51,28,117.11,111,19,71.01,347,462.39,152,63.71,13.78
Majuli,17,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29.52,9,4.78,16.19
Morigaon,68,0,0,0,0,0,0,0,0,0,0,0,0,0,645,675.98,365,221.64,32.79
Nagaon,157,1,0,0,0,0,4,11.26,4,5,13.26,5,5,11.26,648,1476.95,28,22.56,1.53
Nalbari,89,0,0,0,0,0,2,3.09,11,2,9.05,20,2,3.09,245,684.3,17,13.33,1.95
Sivasagar,106,0,0,4,12,25,5,16.67,153,7,22.67,173,9,28.67,283,428.45,55,26.46,6.18
Sonitpur,135,0,0,0,0,0,17,53.79,243,16,48.79,242,17,53.79,416,733.08,9,11.42,1.56
South Salmara,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.81,0,0,0
Tamulpur,22,0,0,0,0,0,1,0.02,1,0,0,0,1,0.02,16,50.74,0,0,0
Tinsukia,155,12,0,1,1.47,5,16,61.89,16,19,74.89,56,29,63.36,1523,3312.72,71,44.23,1.34
Udalguri,52,0,0,0,0,0,1,0,1,0,0,0,1,0,74,139.58,4,3.39,2.43
West Karbi Anglong,22,0,0,1,2.3,5,0,0,0,0,0,0,1,2.3,64,190.18,0,0,0
