District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt
Bajali,32,0,0,7,30.21,36,90.35,0,0,15,5.85,338,110.32,396,236.73
Baksa,39,0,0,6,12,40,84.5,0,0,12,4.46,136,52.03,194,152.99
Barpeta,93,0,0,41,128.15,47,218.89,0,0,308,151.12,1114,92.39,1510,590.55
Biswanath,60,0,0,15,28.64,40,101.42,0,0,0,0,1992,507.21,2047,637.27
Bongaigaon,66,0,0,9,25.6,18,73.34,0,0,64,33.75,1093,124.44,1184,257.13
Cachar,169,0,0,68,157.44,49,311.96,1,0.76,7,2.49,2144,508.41,2269,981.06
Charaideo,37,0,0,11,29.98,7,63.88,0,0,31,13.55,522,71.04,571,178.45
Chirang,40,0,0,10,23.05,7,17.91,0,0,92,20.99,943,82.48,1052,144.43
Darrang,71,0,0,23,66.77,71,173.47,0,0,26,13.16,1364,282.05,1484,535.45
Dhemaji,48,0,0,15,37,19,95.16,0,0,9,2.78,479,152.99,522,287.93
Dhubri,91,0,0,18,59.07,42,105.78,0,0,188,114.45,801,241.85,1049,521.15
Dibrugarh,191,0,0,59,171.57,86,599.52,0,0,8,2.77,2293,411.41,2446,1185.27
Dima Hasao,32,0,0,1,2.81,9,12.84,0,0,0,0,3,2.69,13,18.34
Goalpara,73,0,0,14,52.14,43,180.05,1,0.06,337,225,1910,389.88,2305,847.13
Golaghat,127,0,0,28,60.55,30,162.49,0,0,0,0,1414,148.88,1472,371.92
Hailakandi,47,0,0,14,27.06,37,253.7,0,0,19,10.36,35,15.24,105,306.36
Hojai,60,0,0,12,51.7,9,49.69,0,0,0,0,369,84.34,390,185.73
Jorhat,139,0,0,38,133.15,92,445.58,0,0,0,0,4246,374.97,4376,953.7
Kamrup Metro,179,0,0,44,129.16,167,431.54,0,0,10,4.85,10484,1322.9,10705,1888.45
Karbi Anglong,68,0,0,17,37.19,36,157.47,0,0,0,0,598,149.76,651,344.42
Karimganj,95,0,0,14,29.72,21,75.23,0,0,6,1.96,1048,251.24,1089,358.15
Kokrajhar,59,0,0,8,11.33,15,71.57,0,0,10,7.16,1092,113.3,1125,203.36
Lakhimpur,94,0,0,25,44.46,31,166.53,0,0,53,22.91,1642,535.9,1751,769.8
Majuli,17,0,0,5,15.66,2,4.48,0,0,0,0,536,8.59,543,28.73
Morigaon,68,0,0,15,42.39,46,167.65,0,0,13,5.65,318,19.57,392,235.26
Nagaon,157,0,0,32,81.7,97,488.7,0,0,0,0,2518,455.81,2647,1026.21
Nalbari,89,0,0,46,132.27,133,396.26,0,0,4,0.6,3352,582.08,3535,1111.21
Sivasagar,106,0,0,25,50.15,57,395.28,0,0,3,2.12,1788,310.95,1873,758.5
Sonitpur,135,0,0,65,164.22,123,466.53,0,0,0,0,3763,1399.96,3951,2030.71
South Salmara,16,0,0,5,23.41,12,31.84,0,0,6,4.34,196,253.07,219,312.66
Tamulpur,22,0,0,1,4.86,22,71.93,0,0,7,1.75,10,5.5,40,84.04
Tinsukia,155,0,0,41,82.84,36,266.65,1,0,11,4.86,1522,59.73,1611,414.08
Udalguri,52,0,0,26,83.94,22,96.92,0,0,1,0.3,2747,1205.91,2796,1387.07
West Karbi Anglong,22,0,0,1,3.99,13,31.36,0,0,5,0.39,1,3.03,20,38.77
