District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,KVIC No.,KVIC Amt,Other Msme No.,Other Msme Amt,Total Msme (PS) NPA No.,Total Msme (PS) NPA Amt
Bajali,32,889,715.09,4,12.28,0,0,20,33.27,390,64.51,1303,825.15
Baksa,39,1269,991.73,209,318.64,0,0,310,383.71,272,62.7,2060,1756.78
Barpeta,93,4118,4041.43,1013,2037.69,2,7.77,131,226.69,1205,238.96,6469,6552.54
Biswanath,60,2010,1368.67,329,514.38,0,0,36,39.63,1017,213.98,3392,2136.66
Bongaigaon,66,2031,1763.94,153,1517.97,0,0,120,148.33,501,100.44,2805,3530.68
Cachar,169,5433,8065.84,1177,4449.34,5,1.61,116,151.72,521,146.74,7252,12815.25
Charaideo,37,1101,1023.69,195,480.85,0,0,45,89.14,85,14.88,1426,1608.56
Chirang,40,1537,1103.41,685,674.85,0,0,579,615.72,298,52.85,3099,2446.83
Darrang,71,3033,3926.76,602,1048.96,1,0.02,157,223.08,1127,232.82,4920,5431.64
Dhemaji,48,1998,1689.01,392,620.9,1,5.86,66,94.33,1614,320.28,4071,2730.38
Dhubri,91,3502,2073.41,1239,1040.84,1,0.52,212,269.36,513,129.78,5467,3513.91
Dibrugarh,191,6738,9331.79,1049,3359.76,13,399.88,175,307.05,765,168.42,8740,13566.9
Dima Hasao,32,648,498.44,9,8.26,0,0,13,30.44,4,2.29,674,539.43
Goalpara,73,2641,2658.83,802,935.29,1,31.25,196,269,1190,244.72,4830,4139.09
Golaghat,127,3968,3379.99,145,853.51,1,0.4,80,126.7,705,164.53,4899,4525.13
Hailakandi,47,2020,1963.98,128,220.04,1,0.33,136,214.74,167,60.16,2452,2459.25
Hojai,60,2475,3108.13,416,964.77,2,2.18,8,8.98,912,163.14,3813,4247.2
Jorhat,139,4160,7358.26,497,3385.45,12,825.19,72,106.51,590,192.45,5331,11867.86
Kamrup Metro,179,5186,5505.39,890,1192.65,2,2.02,335,627.44,2172,468.65,8585,7796.15
Karbi Anglong,68,1412,1050.54,228,279.43,0,0,108,49.89,26,4.8,1774,1384.66
Karimganj,95,2606,4261.86,239,863.76,0,0,101,184.71,359,130.72,3305,5441.05
Kokrajhar,59,1706,1759.63,1269,1445.51,0,0,616,702.56,10,7.34,3601,3915.04
Lakhimpur,94,5171,4177.69,712,777.85,20,14.74,70,109.94,3535,909.79,9508,5990.01
Majuli,17,324,323.89,160,235.63,1,22.6,11,11.64,139,26.05,635,619.81
Morigaon,68,3297,3921.83,678,1485.64,3,45.32,140,221.68,508,124.34,4626,5798.81
Nagaon,157,7485,7480.46,451,1379.57,4,246.16,238,354.02,1075,222.08,9253,9682.29
Nalbari,89,3336,3344.66,909,1255.12,1,0.28,283,456.19,633,119.11,5162,5175.36
Sivasagar,106,3289,4068.66,334,1133.4,1,1.44,82,173.49,629,172.81,4335,5549.8
Sonitpur,135,4253,5067.04,1558,3208.77,4,140.25,213,380.43,854,173.77,6882,8970.26
South Salmara,16,258,438.06,529,595.72,0,0,131,223.95,0,0,918,1257.73
Tamulpur,22,587,417.04,1,3.19,0,0,78,81.25,359,65.86,1025,567.34
Tinsukia,155,5484,7948.75,692,1439.38,4,338.51,210,303.13,717,152.8,7107,10182.57
Udalguri,52,2250,1668.72,2077,3544.84,0,0,424,700.16,713,126.02,5464,6039.74
West Karbi Anglong,22,255,121.58,2,4.46,0,0,0,0,1,0.14,258,126.18
