district,Total Branch,Inactive CSPs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Bajali,32,11,29746,18677,103918,4553
Baksa,39,15,69749,44289,137102,5763
Barpeta,93,32,278871,162134,680788,17565
Biswanath,60,5,65362,58501,137434,8715
Bongaigaon,66,20,93276,55866,181212,8369
Cachar,169,307,254745,113171,367169,13853
Charaideo,37,6,57532,14444,63029,4777
Chirang,40,4,93634,58366,177325,8067
Darrang,71,25,144536,63622,308602,16095
Dhemaji,48,16,111065,95052,166531,8820
Dhubri,91,19,222708,122896,495431,10276
Dibrugarh,191,115,198654,145237,370575,27822
Dima Hasao,32,6,27019,5166,28140,367
Goalpara,73,14,129840,65669,351403,12961
Golaghat,127,36,148538,106554,227243,22551
Hailakandi,47,11,108977,49143,231279,7760
Hojai,60,25,149160,64782,260063,6038
Jorhat,139,127,101303,68891,262134,19937
Kamrup Metro,179,29,305671,131347,495402,34998
Karbi Anglong,68,6,48225,25647,83934,4975
Karimganj,95,15,173470,80651,225689,5323
Kokrajhar,59,22,105968,74524,324420,9924
Lakhimpur,94,13,144479,118368,213525,14961
Majuli,17,4,25059,8588,44799,2082
Morigaon,68,41,194489,38945,239153,13435
Nagaon,157,642,229531,139736,656302,29677
Nalbari,89,9,87046,48268,281412,14054
Sivasagar,106,112,100434,55602,184106,10036
Sonitpur,135,284,143566,90394,437977,15669
South Salmara,16,1,23184,21688,109308,376
Tamulpur,22,3,64158,33881,83377,2258
Tinsukia,155,129,157008,84531,423358,19885
Udalguri,52,10,125973,87449,293522,13182
West Karbi Anglong,22,2,16882,11226,45327,630
