district,Total Branch,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Bajali,32,6478248,130765.37,77,30.91,1806,440.51,152588,832585.49,102502,5998.79,34344,775.96
Baksa,39,5456139,79970.63,82,221.82,612,831.21,88703,6539.55,121351,5892.53,22330,530.09
Barpeta,93,29772143,669046.99,651,7805.98,8216,6125.37,692085,2748662.33,257049,18446.72,62139,1590.24
Biswanath,60,10606439,183180.73,122,1441.02,3570,2987.57,281850,1043025.21,233830,15238.42,37535,857.85
Bongaigaon,66,14627482,352881.45,259,3234.66,10038,4666.78,361308,2234725.1,246569,18041.33,65516,1610.72
Cachar,169,32406004,640592.95,524,3282.39,31532,9962.99,872512,1852084.85,744887,41902.3,144278,3463.9
Charaideo,37,7245717,99579.29,691,501.4,1159,1513.68,215760,405360.72,150050,5949.54,21027,594.38
Chirang,40,6606967,149032.4,137,3.4,2290,1457.66,137934,467162.52,85586,5194.78,50411,1215.28
Darrang,71,16235991,404756.69,283,562.97,8114,4203.41,336876,2580383.98,260077,17116.29,35334,870.41
Dhemaji,48,14408850,230173.25,227,2822.88,3661,4028.46,219550,1409842.73,165471,13441.58,33134,853.46
Dhubri,91,25217363,519130.06,735,8006.42,6204,2735.27,802081,2161998.99,304279,23279.45,42591,1436.65
Dibrugarh,191,33593160,756705.53,769,347.59,43558,9920.09,846679,1977943.54,1032347,64076.4,234520,5246.38
Dima Hasao,32,4618169,82432.45,5,0.04,1685,976.4,53912,453415.46,74022,7192.45,13194,436.74
Goalpara,73,14735914,376451.78,642,16357.74,6662,6535.22,379363,1624304.01,257524,23524.69,31757,947.5
Golaghat,127,24416925,375377.03,283,3.16,13678,6310.82,679522,922022.74,549014,27087.89,91770,2256.62
Hailakandi,47,11590883,216140,757,1688.49,1847,1133.78,316301,409563.05,152867,11582.42,15860,433.21
Hojai,60,22008030,437190.42,319,6.14,8734,8697.88,477909,1293110.33,344491,19626.92,28617,806.3
Jorhat,139,23747493,616250.68,815,248.49,64254,8295.16,611034,1267119.28,749066,38538.37,227665,4781
Kamrup Metro,179,28567352,659822.1,402,6204.49,15936,7419.26,488174,3348304.52,581370,43641.8,121441,3252.9
Karbi Anglong,68,11349564,174079.57,2,0.04,2200,1780.17,159813,443291.76,132337,11966.48,42588,1152.06
Karimganj,95,21993767,506797.21,317,1315.35,6010,4706.11,745088,1807051.14,398972,22794.33,37508,1016.32
Kokrajhar,59,11112512,235747.58,265,2646.46,4510,2418.89,133386,1846710.45,140124,16755.12,60636,1764.38
Lakhimpur,94,25772014,408468.48,368,4152.71,6848,4226.06,819273,1483873.15,361475,22741.43,49982,1277.13
Majuli,17,3564242,53212.38,69,178.63,1044,177.25,91631,253677.87,126593,5699.21,6860,168.03
Morigaon,68,15661681,315265.33,650,3396.59,4610,4154.84,486682,556718.68,322521,24588.3,28913,699.99
Nagaon,157,34546407,670408.7,1056,6190.21,18035,7035.83,1202326,1914052.18,492753,39539.41,118021,3117.42
Nalbari,89,11972888,232404.33,166,3791.22,5038,2933.35,203752,929608.01,251082,20267.88,66353,1599.81
Sivasagar,106,19948573,308154.13,239,990.03,54906,4997.36,513677,535661.74,486963,23090.49,140238,3365.66
Sonitpur,135,26324705,515091.98,329,1892.23,39814,8603.63,629864,2228604.57,534593,41102.33,225991,4362.48
South Salmara,16,2280298,112858.58,297,9257.75,1950,527.98,16424,774198.93,11980,986.9,2376,121.68
Tamulpur,22,4199571,70842.51,124,1147.11,1881,1548.78,22108,76907.74,48321,2537.25,19999,467.17
Tinsukia,155,26258877,501205.18,2942,1133.53,21569,8398.17,720793,2033966.23,686408,48671.3,113524,2397.82
Udalguri,52,10802906,194774.23,809,1249.47,3167,1259.01,113359,817942.82,104720,16043.06,37067,831.54
West Karbi Anglong,22,4262553,44535.06,414,4.39,0,0,45447,1731.3,19860,722.77,7907,240.57
