district,Total Branch,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bajali,32,505,146.73,461,678.51,30,234.41,996,1059.65
Baksa,39,285,83.42,380,566.38,40,200.12,705,849.92
Barpeta,93,4071,1315.25,2100,2739.15,179,1242.19,6350,5296.59
Biswanath,60,1582,486.94,1023,1128.5,127,844.92,2732,2460.36
Bongaigaon,66,2100,699.14,1015,1446.75,143,904.13,3258,3050.02
Cachar,169,9835,3035.29,4757,5917.59,264,1848.41,14856,10801.29
Charaideo,37,1022,296.33,447,611.24,48,317.44,1517,1225.01
Chirang,40,1351,439.32,697,907.81,53,333.56,2101,1680.69
Darrang,71,2729,903.27,1410,1976.78,158,1185.75,4297,4065.8
Dhemaji,48,1489,503.37,683,993.9,146,794.14,2318,2291.41
Dhubri,91,3501,1204.71,1998,2717.98,152,1050.43,5651,4973.12
Dibrugarh,191,5381,1446.77,2716,3689.31,380,2371.23,8477,7507.31
Dima Hasao,32,87,26.18,71,162.58,18,123.21,176,311.97
Goalpara,73,2237,770.45,1412,1786,140,907.78,3789,3464.23
Golaghat,127,3863,1108.54,2439,2857.45,205,1313.61,6507,5279.6
Hailakandi,47,1303,419.42,1002,1215.35,82,539.37,2387,2174.14
Hojai,60,1706,571.14,1197,1719.83,131,964.22,3034,3255.19
Jorhat,139,3624,1020.65,2330,3035.97,198,1283.24,6152,5339.86
Kamrup Metro,179,6615,2136.39,4705,5886.85,230,1472.46,11550,9495.7
Karbi Anglong,68,944,366.54,491,756.34,57,447.31,1492,1570.19
Karimganj,95,3576,1125.11,2368,2807.44,167,1168.93,6111,5101.48
Kokrajhar,59,2798,1007.34,1225,1485.16,90,615.47,4113,3107.97
Lakhimpur,94,2133,712.74,1686,2211.54,266,1656.19,4085,4580.47
Majuli,17,249,81.47,47,103.79,13,84.41,309,269.67
Morigaon,68,1645,577.63,1320,1749.38,134,956.73,3099,3283.74
Nagaon,157,5114,1762.3,3635,4657.98,256,1790.5,9005,8210.78
Nalbari,89,2513,826.05,1302,1665.4,112,805.29,3927,3296.74
Sivasagar,106,2847,808.57,1897,2463.95,246,1437.52,4990,4710.04
Sonitpur,135,3698,1200.71,2794,3436.14,254,1647.42,6746,6284.27
South Salmara,16,6,2,86,170.1,17,147.12,109,319.22
Tamulpur,22,328,95.65,354,442.03,10,82.8,692,620.48
Tinsukia,155,3401,997.26,2158,3303.97,420,2732.64,5979,7033.87
Udalguri,52,1101,390.98,598,808.68,38,282.05,1737,1481.71
West Karbi Anglong,22,42,16.37,17,50.12,18,154.17,77,220.66
