district,Total Branch,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt.,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt.,Loans to weaker No,Loans to weaker Amt
Bajali,32,0,0,19,15.42,129,269.07,0,0,6,1.8,232,80.34,386,366.63,1847,3100.13
Baksa,39,0,0,12,10.88,26,143.52,0,0,15,2.4,151,356.14,204,512.94,1519,2976.13
Barpeta,93,0,0,73,88.92,173,983.87,0,0,2,0.6,3023,1820.61,3271,2894,10416,14771.52
Biswanath,60,0,0,26,41.43,41,111.81,0,0,0,0,1312,756.55,1379,909.79,3874,5626.52
Bongaigaon,66,0,0,44,73.58,171,1014.83,0,0,1,0.3,1434,835.11,1650,1923.82,5492,10532.97
Cachar,169,0,0,161,172.14,410,1955.39,1,3,1,3,10490,5809.8,11063,7943.33,17126,16229.87
Charaideo,37,0,0,8,5.56,14,61.59,0,0,0,0,732,305.3,754,372.45,1874,2452.43
Chirang,40,0,0,13,12.56,29,142.33,0,0,0,0,974,478.15,1016,633.04,2738,3997.34
Darrang,71,0,0,62,74.93,109,732.3,0,0,0,0,1683,1065.21,1854,1872.44,7715,12775.12
Dhemaji,48,0,0,35,35.75,61,258.63,0,0,0,0,1221,854.98,1317,1149.36,3640,6250.67
Dhubri,91,0,0,32,51.25,108,299.46,0,0,0,0,3445,2014.4,3585,2365.11,7424,9742.41
Dibrugarh,191,0,0,143,266.02,377,2310.66,14,0,0,0,3556,2092.43,4090,4669.11,14923,16473.76
Dima Hasao,32,0,0,5,3.07,20,174.66,0,0,0,0,0,0,25,177.73,1217,2205.98
Goalpara,73,0,0,27,40.73,49,293.86,0,0,1,0.01,2187,1297.18,2264,1631.78,5790,8663.23
Golaghat,127,0,0,90,111.8,162,803.44,0,0,0,0,4072,1884.94,4324,2800.18,9916,12112.04
Hailakandi,47,0,0,15,11.22,56,284.48,0,0,0,0,1689,815.95,1760,1111.65,4082,4230.31
Hojai,60,0,0,29,22.74,26,82.76,0,0,0,0,1311,719.27,1366,824.77,3680,5264.19
Jorhat,139,0,0,178,344.07,374,1874.73,0,0,0,0,2644,2183.57,3196,4402.37,10115,10928.39
Kamrup,179,0,0,209,256.74,798,1772.36,0,0,0,0,4459,2509.39,5466,4538.49,13621,16629.12
Kamrup Metro,471,0,0,629,1624.92,1280,7297.54,0,0,0,0,2529,15676.88,4438,24599.34,11085,31865.88
Karbi Anglong,68,0,0,13,13.69,26,99.01,0,0,0,0,814,484.74,853,597.44,2779,3966.34
Karimganj,95,0,0,21,18.92,130,293.99,0,0,0,0,3888,1911.41,4039,2224.32,6903,6859.97
Kokrajhar,59,0,0,37,51.67,74,422.16,0,0,0,0,2447,1512.66,2558,1986.49,6640,10102.97
Lakhimpur,94,0,0,87,135.5,167,889.77,2,0.8,0,0,1523,935.56,1779,1961.63,9489,10969.07
Majuli,17,0,0,8,5.9,22,79.44,0,0,0,0,33,85.1,63,170.44,610,1246.52
Morigaon,68,0,0,43,55.42,57,315.04,0,0,7,2.1,1314,755.01,1421,1127.57,5234,6192.5
Nagaon,157,0,0,68,94.84,246,1024.77,2,93.93,4,0,3957,2516.26,4277,3729.8,13862,17494.44
Nalbari,89,0,0,76,84.67,138,779.79,0,0,1,0.3,1979,1179.06,2194,2043.82,7869,11324.93
Sivasagar,106,0,0,90,172.33,229,1348.68,1,2.38,0,0,2308,1575.14,2628,3098.53,7538,9778.26
Sonitpur,135,0,0,156,260.79,396,1837.7,0,0,0,0,2953,2706.62,3505,4805.11,8942,13465.84
South Salmara,16,0,0,8,5.6,14,65.66,0,0,0,0,14,127,36,198.26,263,807.18
Tamulpur,22,0,0,23,18.06,27,92.11,0,0,0,0,169,83.57,219,193.74,938,1719.55
Tinsukia,155,0,0,130,282.31,197,1315.25,0,0,1,1.77,3024,2790.9,3352,4390.23,9041,11685.53
Udalguri,52,0,0,47,50.91,92,234.31,0,0,0,0,632,418.77,771,703.99,5311,5196.19
West Karbi Anglong,22,0,0,1,0.7,2,9.21,0,0,0,0,0,0,3,9.91,440,952.55
