district,Total Branch,Agri A/C Nos.,Agri Amt.,MSME A/C Nos.,MSME Amt.,Other PS A/C Nos.,Other PS Amt.,Total Priority Sector Target A/C Nos.,Total Priority Sector Target Amt.
Bajali,32,24250,29820.22,2424,14642.74,1233,4394.21,27907,48857.17
Baksa,39,92318,42544,5199,22326,11301,4942,108818,69812
Barpeta,93,62882,73482.65,7252,39300.58,2990,12758.78,73124,125542.01
Biswanath,60,12956,21512,6359,30270,3090,14564,22405,66346
Bongaigaon,66,54170,62422.45,8008,45000,3047,15000,65225,122422.45
Cachar,169,50859,44173.78,22156,121415.82,11362,31616.39,84377,197205.99
Charaideo,37,19283,26327,2334,13678,1180,4841,22797,44846
Chirang,40,35946,38970.51,1600,12000,2534,4500,40080,55470.51
Darrang,71,27495,22412.3,28212,51404.47,2443,5630.1,58150,79446.87
Dhemaji,48,37625,49098.04,3098,22649,1483,4925.28,42206,76672.32
Dhubri,91,75569,94973.08,5430,28017.93,5541,15944.49,86540,138935.5
Dibrugarh,191,40954,84554.11,11607,157924.63,3648,73073.88,56209,315552.62
Dima Hasao,32,21489,23330.83,4674,7662.89,1221,2372.12,27384,33365.84
Goalpara,73,35194,30715.48,9987,26527.63,5809,11740.08,50990,68983.19
Golaghat,127,46670,54158,1555,40036,5903,17354,54128,111548
Hailakandi,47,16596,18212,7433,20924,10919,18985.7,34948,58121.7
Hojai,60,21457,26244.6,4633,27836.72,2798,6468,28888,60549.32
Jorhat,139,119055,124258,19648,132325,6152,12017,144855,268600
Kamrup,179,109272,74574.35,49902,66418.46,5764,19563.36,164938,160556.17
Kamrup Metro,471,21417,86315,57451,1180748,9357,71494.9,88225,1338557.9
Karbi Anglong,68,75148,81002.79,3049,13857.18,4526,15943.09,82723,110803.06
Karimganj,95,19230,17996,9413,42856,3943,8438.12,32586,69290.12
Kokrajhar,59,18312,30200,5709,27500,4267,9700,28288,67400
Lakhimpur,94,38031,46895.16,6381,46800,4056,10393.28,48468,104088.44
Majuli,17,34969,29092,745,2428,594,2045,36308,33565
Morigaon,68,90894,71357.54,2507,27037.38,5749,18400.68,99150,116795.6
Nagaon,157,104276,109686.03,18990,72238.58,11186,20541.84,134452,202466.45
Nalbari,89,18886,41050,10469,38815,1715,9274,31070,89139
Sivasagar,106,33933,35150.25,8756,76504,9134,14234.23,51823,125888.48
Sonitpur,135,23411,44185,5815,80016,5649,33290,34875,157491
South Salmara,16,3601,3120,3973,5000,1694,3630,9268,11750
Tamulpur,22,47735,21912,2546,3536,5586,9252,55867,34700
Tinsukia,155,45550,47929,15313,103360.26,10177,21824,71040,173113.26
Udalguri,52,47650,36252,1966,21001,4979,6817,54595,64070
West Karbi Anglong,22,33591,34666.54,132,532.15,2878,7938.43,36601,43137.12
