District,Total Branch,During the Quarter Savings Linked No.,During the Quarter Savings Linked Amt,During the Quarter Credit Linked No.,During the Quarter Credit Linked Amt,Current FY Savings Linked No.,Current FY Savings Linked Amt,Current FY Credit Linked No.,Current FY Credit Linked Amt,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA Amt,SHG NPA Amt. %
Bajali,32,140,59.88,230,618.13,140,59.88,230,618.13,2868,5735.3,69,43.59,0.76
Baksa,39,496,121.92,295,940.06,496,121.92,295,940.06,4063,9385.15,215,117.83,1.26
Barpeta,93,2560,908.96,1032,2297.51,2560,908.96,1032,2297.51,10850,19685.58,728,428.24,2.18
Biswanath,60,841,103.31,546,1576.26,841,103.31,546,1576.26,8196,16890.02,795,238.81,1.41
Bongaigaon,66,1397,432.7,434,1450.27,1397,432.7,434,1450.27,5385,12013.93,122,66.3,0.55
Cachar,169,1205,645.84,637,1344.92,1205,645.84,637,1344.92,8252,13918.26,499,184.5,1.33
Charaideo,37,360,47.66,269,1057.99,360,47.66,269,1057.99,4331,9149.25,89,53.38,0.58
Chirang,40,1021,206.81,195,531.08,1021,206.81,195,531.08,2995,6924.57,204,91.6,1.32
Darrang,71,1447,591.26,686,1432.88,1447,591.26,686,1432.88,8637,16549.29,574,497.96,3.01
Dhemaji,48,2332,531.27,862,2304.36,2332,531.27,862,2304.36,8078,18514.31,454,179.25,0.97
Dhubri,91,3861,974.12,586,1171.96,3861,974.12,586,1171.96,8433,13113.32,579,284.39,2.17
Dibrugarh,191,2295,775.75,1061,2793.37,2295,775.75,1061,2793.37,8974,20680.79,281,146.83,0.71
Dima Hasao,32,198,9.17,87,176.97,198,9.17,87,176.97,1290,2780.4,74,36.88,1.33
Goalpara,73,855,279.05,452,1359.52,855,279.05,452,1359.52,6952,14249.16,676,308.99,2.17
Golaghat,127,2170,560.67,925,2683.67,2170,560.67,925,2683.67,10603,26358,183,100.91,0.38
Hailakandi,47,1014,611.44,239,396.81,1014,611.44,239,396.81,3543,5820.26,353,122.48,2.1
Hojai,60,1171,276.87,496,1218.42,1171,276.87,496,1218.42,5543,9821.16,166,111.51,1.14
Jorhat,139,1253,577.76,728,1980.98,1253,577.76,728,1980.98,7938,19524.31,73,35.7,0.18
Kamrup Metro,179,1302,445.67,1138,2566.84,1302,445.67,1138,2566.84,11392,24012.04,929,663.78,2.76
Karbi Anglong,68,285,40.96,402,1231.47,285,40.96,402,1231.47,7508,19858.29,203,54.89,0.28
Karimganj,95,664,356.96,462,824.17,664,356.96,462,824.17,5088,8252.71,598,201.88,2.45
Kokrajhar,59,3131,569.87,394,1215.18,3131,569.87,394,1215.18,4289,7690.93,209,77.71,1.01
Lakhimpur,94,2069,846.23,1008,2292.08,2069,846.23,1008,2292.08,10861,21068.19,659,169.42,0.8
Majuli,17,107,14.69,82,284.04,107,14.69,82,284.04,2162,3960.33,80,31.77,0.8
Morigaon,68,1128,259.06,513,1195.85,1128,259.06,513,1195.85,8000,13892.77,1569,713.05,5.13
Nagaon,157,4644,1181.63,1505,3606.75,4644,1181.63,1505,3606.75,15957,32822.9,426,304.2,0.93
Nalbari,89,980,544.7,813,2274.94,980,544.7,813,2274.94,9528,20339.14,521,292.53,1.44
Sivasagar,106,1131,334,449,1099.95,1131,334,449,1099.95,6031,11964.31,142,73.19,0.61
Sonitpur,135,2748,809,708,1703.54,2748,809,708,1703.54,9618,18904.29,850,350.55,1.85
South Salmara,16,378,43,60,146.89,378,43,60,146.89,1003,1915.59,10,3.67,0.19
Tamulpur,22,615,219.53,167,609.02,615,219.53,167,609.02,2079,5012.3,65,26.64,0.53
Tinsukia,155,1458,486.92,695,1895.9,1458,486.92,695,1895.9,7932,18723.39,359,165.78,0.89
Udalguri,52,1738,311.06,325,940.01,1738,311.06,325,940.01,4249,7906.73,458,295.7,3.74
West Karbi Anglong,22,351,16.32,179,622.79,351,16.32,179,622.79,2952,6235.3,312,66.76,1.07
