district,Total Branch,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,CLF TL A/C,CLF TL Amt,CLF WC A/C,CLF WC Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Bajali,32,206,2000.03,108,1691.17,9,885.78,10,1195.55,2,160.12,0,0,8,32.29,0,0,0,0,0,0,0,0,343,5964.94
Baksa,39,174,444.36,160,1324.81,5,71.36,14,1666.07,1,170,2,44.49,0,0,1,0.49,0,0,0,0,0,0,357,3721.58
Barpeta,93,883,6700.97,643,10782.42,74,2859.67,93,7246.63,5,937.14,7,3057.14,14,140.66,23,109.57,1,0.5,0,0,1,5.61,1744,31840.31
Biswanath,60,342,3961.54,196,1949.65,15,822.09,7,451.09,2,71,0,0,1,1.81,1,1.67,0,0,0,0,0,0,564,7258.85
Bongaigaon,66,652,5852.93,437,4914.87,44,4770.99,51,5373.79,7,1930.27,4,1441.81,15,64.91,17,31.21,1,18.57,0,0,0,0,1228,24399.35
Cachar,169,1739,8964.72,1073,10922.05,101,8965.27,129,15413.66,10,3024.4,15,6352.14,26,85.97,20,65.41,0,0,0,0,1,5.53,3114,53799.15
Charaideo,37,284,1906.21,150,1354.4,11,230.7,6,227.66,0,0,0,0,1,6.66,0,0,1,0,0,0,0,0,453,3725.63
Chirang,40,436,2353.34,192,1196.78,17,1238.38,8,797.27,1,825,1,275,3,7.56,2,2.47,1,0.02,0,0,0,0,661,6695.82
Darrang,71,799,4735.1,572,5816.31,37,2043.9,68,5874.42,4,80.41,1,5,17,19.27,11,18.05,0,0,0,0,0,0,1509,18592.46
Dhemaji,48,429,1707.01,515,3477.83,24,925.66,29,2081.09,0,0,1,9.89,4,22.54,1,0.98,7,10.49,0,0,0,0,1010,8235.49
