District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Bajali,32,4192,10631.03,66,3505.9,8,277.58,525,120.87,4791,14535.38
Baksa,39,5531,10493.2,69,2292.66,4,232.71,833,348,6437,13366.57
Barpeta,93,17219,55323.7,409,17792.02,41,3069.4,1804,538.72,19473,76723.84
Biswanath,60,7915,22034.24,229,3663.96,7,225.37,2306,995.51,10457,26919.08
Bongaigaon,66,11199,37770.21,289,13878.94,33,3716.97,996,337.5,12517,55703.62
Cachar,169,25730,86637.96,1274,37129.81,148,16698.49,1849,998.75,29001,141465.01
Charaideo,37,5160,12611.34,136,1646.65,7,42.22,247,97.45,5550,14397.66
Chirang,40,6943,14665.86,125,2749.93,4,1133.99,553,134.23,7625,18684.01
Darrang,71,12356,39995.16,362,13567,18,211.88,1896,531.03,14632,54305.07
Dhemaji,48,8656,22865.48,197,5092.33,13,171.89,4433,1884.93,13299,30014.63
Dhubri,91,14377,35027.26,289,10054.46,19,2484.66,826,268.17,15511,47834.55
Dibrugarh,191,29385,116775.08,1335,55211.76,263,15760.37,1923,615.77,32906,188362.98
Dima Hasao,32,4336,7466.08,39,746.39,3,26.92,13,19.27,4391,8258.66
Goalpara,73,12448,29785.96,223,8577.08,7,94.76,1674,440.52,14352,38898.32
Golaghat,127,16960,45158.15,671,16507.23,14,390.4,1730,721.82,19375,62777.6
Hailakandi,47,7354,15219.69,178,3386.02,9,563.62,337,171.93,7878,19341.26
Hojai,60,10796,33567.82,537,9104.28,49,751.55,1462,613.44,12844,44037.09
Jorhat,139,19848,84323.9,1028,45255.17,150,16911.63,1960,1132.09,22986,147622.79
Kamrup Metro,179,21859,70693.11,840,24971,57,5418.18,3882,1254.45,26638,102336.74
Karbi Anglong,68,8908,17992.82,146,2613.29,5,88.97,1474,519.65,10533,21214.73
Karimganj,95,9995,33458.73,792,16038.63,49,3729.4,1457,884.28,12293,54111.04
Kokrajhar,59,9061,23256.48,127,6009.36,6,341.2,654,746.88,9848,30353.92
Lakhimpur,94,15737,39714.91,905,15925.33,91,4463.68,8429,3527.78,25162,63631.7
Majuli,17,1586,3853.78,183,524.61,4,27.78,771,414.88,2544,4821.05
Morigaon,68,9943,25109.95,666,6711.14,17,1191.81,1391,540.48,12017,33553.38
Nagaon,157,24783,83053.69,1091,30757.36,150,8539.2,2199,819.39,28223,123169.64
Nalbari,89,13068,36334.66,271,10309.24,19,1408.85,1226,459.98,14584,48512.73
Sivasagar,106,17226,58518.57,718,26596.01,40,5988.66,1813,818.75,19797,91921.99
Sonitpur,135,20401,77499.86,838,31766.98,178,5425.74,1892,843.29,23309,115535.87
South Salmara,16,1814,4654.85,19,473,0,0,0,0,1833,5127.85
Tamulpur,22,3566,5290.46,21,236.73,2,21.64,774,341.53,4363,5890.36
Tinsukia,155,25774,118315.26,1432,42450.78,86,6502.27,1300,590.07,28592,167858.38
Udalguri,52,9673,18878.28,29,665.19,1,0.94,1362,449.07,11065,19993.48
West Karbi Anglong,22,1784,1612.65,7,8.01,10,33.17,27,10.9,1828,1664.73
