district,Total Branch,Current Year Self-Help Group No.,Current Year Self-Help Group Amount,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No.,NRLM Irregular A/C Amt.,NRLM NPA No.,NRLM NPA Amt.,NRLM NPA Amt. %
Bajali,32,227,846.24,2951,6464.23,6,16.22,21,13.88,0.21
Baksa,39,403,1497.57,4773,11676.66,24,39.59,162,134.87,1.16
Barpeta,93,1576,4937.42,9525,19066.43,123,119.02,325,145.7,0.76
Biswanath,60,935,2414.96,8344,19125.22,261,466.78,95,117.4,0.61
Bongaigaon,66,614,2210.38,5284,11382.73,145,140.95,49,34.19,0.3
Cachar,169,1186,2977.92,8042,14884.48,135,274.26,184,82.4,0.55
Charaideo,37,382,1368.51,4077,8825.19,50,46.16,44,28.33,0.32
Chirang,40,584,1329.06,4116,9809.79,272,564.54,104,61.58,0.63
Darrang,71,1482,4362.88,7351,16461.1,93,148.55,113,108.21,0.66
Dhemaji,48,902,2862.7,7490,18607.73,200,377.52,117,47.78,0.26
Dhubri,91,1241,2764.11,8386,13688.04,422,665.85,348,155.82,1.14
Dibrugarh,191,1379,4497.31,8990,22523.33,292,698.06,196,93.5,0.42
Dima Hasao,32,93,177.91,1122,2550.8,18,18,8,11.56,0.45
Goalpara,73,845,2893.94,7452,17353.41,101,214.38,171,102.21,0.59
Golaghat,127,1449,4844.46,10486,27218.16,296,583.36,97,62.09,0.23
Hailakandi,47,763,1486.66,3632,6823.91,200,225.36,107,56.67,0.83
Hojai,60,558,1883.34,5129,9207.55,95,179.85,85,53.15,0.58
Jorhat,139,998,3218.05,7977,20088.55,174,427.4,28,20.9,0.1
Kamrup Metro,179,1541,4943.99,14183,32457.88,431,1018.78,372,267.95,0.83
Karbi Anglong,68,408,1343.21,6663,18340.97,43,36.53,66,31.08,0.17
Karimganj,95,544,1491.18,4124,7192.89,59,107.03,133,88.13,1.23
Kokrajhar,59,992,2476.48,6019,11231.5,249,241.19,49,25.94,0.23
Lakhimpur,94,1544,4468.5,10574,22263.56,277,463.55,209,61.83,0.28
Majuli,17,195,663.86,2009,3896.17,36,45.15,32,22.12,0.57
Morigaon,68,769,2779.16,6297,12693.21,185,393.51,381,217.08,1.71
Nagaon,157,2066,7555.25,15593,35042.6,272,436.22,220,114.23,0.33
Nalbari,89,1102,4016.62,8317,20366.19,115,296.93,150,122.03,0.6
Sivasagar,106,736,2327.7,5795,11993.87,74,105.64,72,31.5,0.26
Sonitpur,135,1544,4647.71,9794,22871.42,117,135.03,249,115.69,0.51
South Salmara,16,82,203.32,984,1769.95,7,2.71,146,38.75,2.19
Tamulpur,22,260,991.3,2485,6364.88,19,14.37,17,17.86,0.28
Tinsukia,155,1076,3820.53,8103,21242.9,142,221.99,128,64.98,0.31
Udalguri,52,870,2139.84,6665,14174.51,123,135.38,68,98.12,0.69
West Karbi Anglong,22,195,648.81,2407,5801.75,26,24,47,14.46,0.25
