district,Total Branch,Sanctioned No,of which girl student Sanctioned No,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No,Disb. Amt,of which girl student Disb Amt,OS No,of which girl student OS No,OS amt,of which girl student OS Amt
Bajali,32,7,3,17.01,3.46,20,13,31.43,10.37,108,43,347.51,112.45
Baksa,39,2,2,4.26,4.26,11,4,10.38,4.91,70,29,257.11,133.48
Barpeta,93,25,18,71.12,32.19,62,38,69.82,40.48,415,180,1580.4,620.38
Biswanath,60,10,4,65.29,7.62,29,10,52.06,10.99,176,86,683.09,306.07
Bongaigaon,66,12,5,74.97,22.72,31,12,69.52,26.24,177,67,832.54,342.09
Cachar,169,38,18,188.51,128.16,150,50,148.5,87.04,1254,275,3744.94,985.29
Charaideo,37,3,2,87.46,47.46,10,5,52.05,43.18,76,33,271.14,127.8
Chirang,40,5,3,33.15,31.4,15,7,17.57,10.6,69,18,272.48,68.29
Darrang,71,11,2,91.33,24.91,45,14,102.06,57.55,395,182,1422.17,700.54
Dhemaji,48,9,6,8.73,5.83,34,17,29.67,13.67,184,89,581.48,293.58
Dhubri,91,10,6,28.5,20.49,31,18,50.46,36.92,198,56,785.94,231.63
Dibrugarh,191,40,24,292.12,208.18,105,70,173.41,122.92,949,440,3819.18,1804.91
Dima Hasao,32,1,0,1.27,0,5,2,3.07,1.1,38,18,148.98,76.73
Goalpara,73,8,4,116.8,10.41,26,16,31.23,17.84,163,69,704.64,267.13
Golaghat,127,19,10,108.45,48.68,70,28,113.66,47.5,416,182,1655.31,671.93
Hailakandi,47,1,0,0.69,0,14,2,9.14,1.45,90,26,249.93,83.93
Hojai,60,9,6,22.2,10.05,30,15,34.08,24.33,159,60,666.57,224.77
Jorhat,139,19,13,172.12,110.57,140,78,222.92,145.38,940,449,4155.08,2089.9
Kamrup,179,48,30,230.93,166.03,190,105,239.84,149.56,1471,534,5518.29,2053.04
Kamrup Metro,471,257,120,2857.61,1579.52,452,208,1602.34,811.71,4111,1675,24210.09,10434.32
Karbi Anglong,68,5,3,67.86,55.5,12,4,28.02,21.65,118,46,346.28,161.14
Karimganj,95,4,1,15.58,3.5,20,7,18.73,5.08,144,46,567.19,178.02
Kokrajhar,59,9,5,38.3,8.55,35,20,59.3,23.38,148,56,574.42,196.04
Lakhimpur,94,16,11,71.88,41.89,67,30,60.89,30.6,391,177,1285.82,539.38
Majuli,17,3,1,6.3,1.73,8,3,5.9,2.92,34,5,92.41,10.31
Morigaon,68,4,2,30.08,28.47,35,15,33.79,19.5,159,61,577.5,231.33
Nagaon,157,21,8,114.78,68.37,62,26,102.25,63.81,382,144,1634.99,663.3
Nalbari,89,16,7,54.73,29.87,53,32,59.56,31.92,403,164,1452.6,616.31
Sivasagar,106,18,7,99.62,61.9,64,27,115.28,52.12,349,169,1408.22,654.27
Sonitpur,135,34,14,279.77,60.58,114,52,286.49,76.96,613,255,2830.49,1171.22
South Salmara,16,2,1,2.08,0.86,8,2,5.6,1.05,21,5,63.61,10.91
Tamulpur,22,6,4,7.33,5.38,24,17,20.66,15.96,73,44,180.38,119.54
Tinsukia,155,31,16,173.7,96.99,83,42,149.97,81.42,671,265,2816.02,1056.74
Udalguri,52,16,12,104.13,52.28,51,35,77.18,44.22,355,243,1121.66,721.83
West Karbi Anglong,22,0,0,0,0,1,0,0.7,0,15,4,66.04,18.36
