district,Total Branch,Current Year No. of Female Account,Current Year Sum of Female Amount,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amount,SUI O/S No.,SUI O/S Amt.,SUI NPA No.,SUI NPA Amt.,SUI NPA Amt. %
Bajali,32,2,1.87,2,7.88,0,0,4,9.75,5,79.49,1,1.4,1.76
Baksa,39,0,0,0,0,0,0,0,0,6,72.93,3,21.18,29.04
Barpeta,93,11,165.92,5,42.45,1,8.26,17,216.63,64,926.74,8,120.21,12.97
Biswanath,60,7,44.74,2,27,0,0,9,71.74,20,234.48,4,23.2,9.89
Bongaigaon,66,4,23.71,5,68,3,37,12,128.71,84,716.88,9,49.88,6.96
Cachar,169,13,156.75,1,11.25,0,0,14,168,96,1376.69,5,66.66,4.84
Charaideo,37,1,0,0,0,0,0,1,0,11,179.56,2,27.27,15.19
Chirang,40,2,50.5,0,0,1,0,3,50.5,25,352.52,1,5.94,1.69
Darrang,71,2,49.23,0,0,0,0,2,49.23,33,438.45,10,100.4,22.9
Dhemaji,48,0,0,0,0,4,18.49,4,18.49,14,178.52,0,0.06,0.03
Dhubri,91,8,59.34,2,22.88,0,0,10,82.22,30,571.21,0,0.05,0.01
Dibrugarh,191,33,295.37,6,107.86,6,32.35,45,435.58,173,2477.86,19,241.23,9.74
Dima Hasao,32,0,0,1,13,1,0,2,13,6,58.48,1,15.74,26.92
Goalpara,73,3,36.9,0,0,0,0,3,36.9,37,333.77,11,56.55,16.94
Golaghat,127,0,0,0,0,0,0,0,0,61,919.99,3,32.79,3.56
Hailakandi,47,3,52.24,0,0,0,0,3,52.24,11,121.23,1,11.52,9.5
Hojai,60,1,8.08,0,0,0,0,1,8.08,61,618.22,23,86.39,13.97
Jorhat,139,18,307.41,1,20,1,49.86,20,377.27,121,2106.12,9,86.45,4.1
Kamrup Metro,179,13,116.08,1,9.95,2,20.45,16,146.48,106,988.06,6,82.28,8.33
Karbi Anglong,68,1,21.29,3,23,3,23,7,67.29,43,624.33,4,19.32,3.09
Karimganj,95,3,9.75,0,0,0,0,3,9.75,28,613.24,9,86.34,14.08
Kokrajhar,59,8,126.5,0,0,4,15.79,12,142.29,25,386.43,1,7.06,1.83
Lakhimpur,94,3,56.63,3,74.55,9,101.73,15,232.91,50,748.35,10,87.51,11.69
Majuli,17,1,0.74,0,0,3,26.06,4,26.8,13,112.97,0,0,0
Morigaon,68,3,22.75,3,24.94,2,33,8,80.69,47,539.74,12,75.62,14.01
Nagaon,157,9,91.85,2,54.48,0,0,11,146.33,93,1103.33,16,115.54,10.47
Nalbari,89,16,142.08,0,0,0,0,16,142.08,49,657.15,6,48.14,7.33
Sivasagar,106,9,132.15,1,1.1,0,0,10,133.25,57,715.4,6,57.93,8.1
Sonitpur,135,16,350.38,2,21.73,1,0,19,372.11,144,2074.02,20,278.22,13.41
South Salmara,16,1,0,0,0,0,0,1,0,2,68.11,0,0,0
Tamulpur,22,0,0,0,0,0,0,0,0,2,74.82,0,0,0
Tinsukia,155,16,155.6,4,75.21,0,0,20,230.81,147,2573.04,7,27.45,1.07
Udalguri,52,0,0,1,8.95,1,0,2,8.95,16,378.38,1,11.1,2.93
West Karbi Anglong,22,0,0,0,0,0,0,0,0,6,65.99,1,11.44,17.34
