District,Total Branch,No. of Operative CASA,No. of Aadhaar Seeded CASA,No. of Authenticated CASA
Bajali,32,407822,165209,84366
Baksa,39,636748,303861,154770
Barpeta,94,1989325,833572,536260
Biswanath,60,878074,352981,184649
Bongaigaon,66,994782,380094,186334
Cachar,172,2251328,901572,429867
Charaideo,37,589903,255505,113485
Chirang,40,713271,285989,190333
Darrang,71,1410002,591861,271119
Dhemaji,49,1231681,420941,242065
Dhubri,92,2253790,1010400,550041
Dibrugarh,193,1905055,659348,392589
Dima Hasao,33,250967,92956,54517
Goalpara,73,1410937,595335,312965
Golaghat,128,1599206,653094,278709
Hailakandi,47,849328,414072,210614
Hojai,61,1168920,535930,249167
Jorhat,140,1389296,568477,271868
Kamrup Metro,181,2396837,890972,549267
Karbi Anglong,69,851856,312410,199022
Karimganj,96,1521395,650723,245998
Kokrajhar,60,1194601,492987,330473
Lakhimpur,95,1521982,573234,253477
Majuli,17,287615,156904,77111
Morigaon,68,1335024,627428,303356
Nagaon,159,3100159,1437111,711026
Nalbari,90,1283318,530672,329089
Sivasagar,107,1050637,422482,185464
Sonitpur,136,1758180,742233,530999
South Salmara,17,359710,183437,129661
Tamulpur,22,461321,195976,109617
Tinsukia,156,1454721,566362,344581
Udalguri,52,1219688,475949,298674
West Karbi Anglong,22,276900,94123,52304
