district,Total Branch,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Bajali,32,23207,20056.14,1711,2178.58
Baksa,39,11158,16760.29,1012,1663.06
Barpeta,93,70560,73692.61,8482,9029.93
Biswanath,60,32566,31267.84,3532,4422.94
Bongaigaon,66,40066,56869.47,4587,6611.63
Cachar,169,131897,121081.43,18725,15154.03
Charaideo,37,16796,21666.05,1865,2041.99
Chirang,40,19855,19837.43,2476,2335.36
Darrang,71,56145,53932.93,5748,6970.6
Dhemaji,48,34847,47082.63,3313,5228.29
Dhubri,91,54347,43009.47,6551,5902.24
Dibrugarh,191,108510,156305.47,15431,18088.22
Dima Hasao,32,7292,21936.43,1076,2629.79
Goalpara,73,42926,42069.53,5011,5459.84
Golaghat,127,81534,78514.85,10445,10458.57
Hailakandi,47,22185,23590.79,3070,3052.11
Hojai,60,31508,31141.58,3518,3865.67
Jorhat,139,86867,117954.02,10448,13828.71
Kamrup Metro,179,125433,136219.11,15997,16237.55
Karbi Anglong,68,33253,59347.62,2972,6044.91
Karimganj,95,51695,41127.86,7122,5628.25
Kokrajhar,59,38565,43944.57,5500,5797.06
Lakhimpur,94,73315,85980.4,7237,10501.5
Majuli,17,5866,8341.62,373,801.3
Morigaon,68,41822,45975.78,4534,5919.12
Nagaon,157,126412,135694.74,13558,17145.35
Nalbari,89,63492,69769.16,5926,7057.77
Sivasagar,106,82134,102184.83,10463,12067.08
Sonitpur,135,83394,109186.49,9100,12211.31
South Salmara,16,1481,2436.76,70,176.68
Tamulpur,22,8390,9001.52,870,1041.46
Tinsukia,155,72809,105764.79,9265,13811.8
Udalguri,52,28652,32137.8,2798,3423.78
West Karbi Anglong,22,6446,10657.17,302,822.1
