district,Total Branch,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disbursed under PMAY No,Current Year Disbursed under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Bajali,32,1382,8226.53,857,6504.62,48,448.59,5,42,0,0,5,42
Baksa,39,569,5859.02,421,3590.9,828,9766.75,5,47.51,0,0,5,47.51
Barpeta,93,2295,22268.97,1888,16855.19,701,7626.99,12,144.74,0,0,12,144.74
Biswanath,60,1283,9748.63,973,6676.38,504,4956.24,12,151.39,0,0,12,151.39
Bongaigaon,66,1895,17501.29,2557,25225.85,418,5266.22,52,496.25,0,0,51,607.61
Cachar,169,6078,29720.04,2883,27788.67,547,6686.74,87,900.15,1,1.49,91,900.32
Charaideo,37,397,3215.44,377,3009.28,145,1630.57,1,9.62,0,0,1,9.62
Chirang,40,598,5615.52,706,5107.65,321,4844.67,0,0,0,0,0,0
Darrang,71,1492,13971.63,1768,14314,437,5864.01,13,116.43,0,0,13,116.43
Dhemaji,48,1599,14040.41,1798,8880.22,702,8561.42,22,179.89,0,0,22,179.89
Dhubri,91,1881,16112.76,1795,10485.23,849,9318.49,43,299,0,0,43,298.84
Dibrugarh,191,7085,42076.49,5279,60944.96,1925,22129.01,77,941.31,1,13.5,81,933.09
Dima Hasao,32,397,3745.31,163,1256.62,82,635.59,1,6.45,0,0,1,6.45
Goalpara,73,1127,10287.7,1041,5571.2,294,3088,8,51.31,0,0,8,51.31
Golaghat,127,2361,20340.11,2718,21527.08,609,8128.1,19,153.49,0,0,19,153.49
Hailakandi,47,909,6939.92,624,2955.74,26,129.56,19,163.47,0,0,19,163.47
Hojai,60,892,7464.07,754,5705.28,84,758.48,16,152.89,0,0,16,152.89
Jorhat,139,7242,43732.41,7279,65716.27,1027,12277.43,54,785.59,2,11.96,59,847.54
Kamrup,179,6618,40410.75,4165,45631.08,2603,33101.72,41,493.16,0,0,41,493.16
Kamrup Metro,471,24480,256614.52,30733,568285.32,3645,64803.81,765,12981.97,13,104.73,779,13064.11
Karbi Anglong,68,2052,20650.13,809,5543.81,1094,11192.97,1,9.62,0,0,1,9.62
Karimganj,95,1119,7017.65,594,6104.84,232,2289.52,20,231.96,0,0,20,231.96
Kokrajhar,59,1081,11063.67,1367,14987.96,471,6943.87,3,26.08,0,0,4,26.24
Lakhimpur,94,3269,26764.57,2518,21953,809,9847.52,48,492.54,0,0,48,492.54
Majuli,17,317,2452.06,172,687.07,158,1980.27,9,92.21,0,0,9,92.21
Morigaon,68,1568,12164.73,785,8220.85,612,4735.58,40,433.56,0,0,45,463.74
Nagaon,157,7023,37351.53,3469,28527.37,1027,12041.1,70,692.85,0,0,70,692.2
Nalbari,89,2473,22663,3134,24709.62,828,10436.21,11,112.06,0,0,11,112.06
Sivasagar,106,5453,23767.12,2932,25099.6,642,7170.39,28,458.06,0,0,28,458.06
Sonitpur,135,6827,36582.72,4544,48577.08,1264,16235.32,61,531.55,1,0.75,67,556.48
South Salmara,16,278,2653.87,270,421.57,137,1291.44,0,0,0,0,0,0
Tamulpur,22,370,3514.43,271,1178.27,128,1125.42,0,0,0,0,0,0
Tinsukia,155,5588,25619.31,3164,32893.74,592,6189.52,50,439.82,0,0,51,448.33
Udalguri,52,1756,16798.64,1894,3260.6,428,4896.97,3,17.04,0,0,3,17.04
West Karbi Anglong,22,545,5568.94,80,152.2,549,5664.65,0,0,0,0,0,0
