district,Total Branch,Crop No,Crop Amt,Term Loan No,Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.
Bajali,32,2843,1717.72,5073,1095.25,4,4.5,386,119.68,8306,2937.15
Baksa,39,3273,1873.69,1555,901.23,0,0,345,60.51,5173,2835.43
Barpeta,93,18831,11341.85,5102,2404.91,51,34.52,737,224.71,24721,14005.99
Biswanath,60,8090,4989.06,2877,918.66,18,21.3,766,150.81,11751,6079.83
Bongaigaon,66,3316,1539.55,1561,994.02,1,2.1,216,58.2,5094,2593.87
Cachar,169,24052,12632.81,4301,2154.34,7,60.08,671,751.6,29031,15598.83
Charaideo,37,1743,1104.99,812,483.32,3,5.31,193,32.34,2751,1625.96
Chirang,40,7516,4202.95,1075,670.85,35,99.22,67,17.32,8693,4990.34
Darrang,71,12662,7574.79,6367,2729.67,105,133,754,275.01,19888,10712.47
Dhemaji,48,10058,7236.84,2044,949.6,6,0.23,769,165.08,12877,8351.75
Dhubri,91,17755,9037.5,5480,1977.36,73,90.94,594,153.11,23902,11258.91
Dibrugarh,191,25903,15503.17,5399,3068.08,99,64.33,1144,612.79,32545,19248.37
Dima Hasao,32,382,91.22,252,139.08,0,0,18,13.4,652,243.7
Goalpara,73,9093,4187.17,2763,1919.06,38,60.71,840,160.27,12734,6327.21
Golaghat,127,23925,11368.72,4531,1593.28,3,1.76,1233,375.79,29692,13339.55
Hailakandi,47,7629,3350.73,1596,921.93,2,1.15,121,69.61,9348,4343.42
Hojai,60,8261,4226.39,1246,681.76,4,19.13,573,260.66,10084,5187.94
Jorhat,139,19294,8362.72,5775,1736.36,3,3.34,661,745.63,25733,10848.05
Kamrup Metro,179,29592,16846.24,8027,2813.34,26,20.54,2311,538.5,39956,20218.62
Karbi Anglong,68,7029,3396.18,1472,1195.45,46,78.88,54,108.31,8601,4778.82
Karimganj,95,12558,6719.52,2539,1480.71,2,2.38,246,346,15345,8548.61
Kokrajhar,59,9954,5531.06,1434,885.79,11,13.92,38,37.51,11437,6468.28
Lakhimpur,94,24047,14490.17,7547,2212.34,94,43.04,1789,383.28,33477,17128.83
Majuli,17,1720,824.35,896,725.67,3,0.13,44,9.81,2663,1559.96
Morigaon,68,14722,8517.61,5270,2330.97,8,4.72,1073,299.13,21073,11152.43
Nagaon,157,38867,18508.98,16388,4196.31,21,33.66,1714,820.86,56990,23559.81
Nalbari,89,13572,6343.34,8129,2466.79,78,101.38,635,342.44,22414,9253.95
Sivasagar,106,8740,3846.7,4142,1668.53,49,100.15,1100,1129.15,14031,6744.53
Sonitpur,135,10786,6650,8813,3066.6,44,37.9,1380,470.21,21023,10224.71
South Salmara,16,1472,451.67,224,213.98,5,6.77,0,0,1701,672.42
Tamulpur,22,2309,1250.5,667,292.56,0,0,262,39.03,3238,1582.09
Tinsukia,155,15764,10115.04,2810,1946.9,3,3.06,792,1037.92,19369,13102.92
Udalguri,52,17769,11204.64,7884,3599.64,29,61.36,354,99.93,26036,14965.57
West Karbi Anglong,22,1575,750.51,742,387.64,1,0,0,0,2318,1138.15
