District,Total Branch,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Bajali,32,22488,184095,15569,93854,283232,80124,14634,130976
Baksa,39,47635,223190,33315,136128,362227,119334,21918,205681
Barpeta,94,170549,957330,90915,521875,1528648,423220,74488,766912
Biswanath,60,66687,291543,33231,189256,459673,145302,39370,295313
Bongaigaon,66,68512,418699,45252,219141,614493,194616,30050,317703
Cachar,172,148528,1027295,91065,372957,1530228,317355,61482,582967
Charaideo,37,35488,230681,24957,112007,333209,106436,23847,171342
Chirang,40,58211,299715,40803,173961,467748,163229,20153,252325
Darrang,71,110460,627262,60807,311485,950829,248980,45970,467915
Dhemaji,49,117444,391322,53464,271104,642536,201871,57025,445573
Dhubri,92,149450,982834,83489,467485,1509876,398290,69608,686543
Dibrugarh,193,158935,831557,82705,381068,1238759,316897,75873,615876
Dima Hasao,33,18437,97604,14099,41255,137731,37753,8694,68386
Goalpara,73,110291,580836,56273,329516,930939,271459,49059,488866
Golaghat,128,118570,602935,62596,280236,896183,233991,59608,458414
Hailakandi,47,53578,395735,28350,158356,601898,120695,26877,238811
Hojai,61,109736,613482,67252,261822,895671,213937,34294,405852
Jorhat,140,92210,650740,56344,255788,928387,233169,48743,396741
Kamrup Metro,181,156792,1008973,99916,444113,1493858,365156,69917,670822
Karbi Anglong,69,58095,198841,43876,142675,310256,133056,43912,244682
Karimganj,96,76638,695192,45466,199549,1113342,170975,39582,315769
Kokrajhar,60,93263,464660,57771,296368,817806,256438,30138,419769
Lakhimpur,95,135385,532875,72562,343630,829782,287116,57745,536760
Majuli,17,13396,140274,7195,38547,187604,32250,11013,62956
Morigaon,68,64028,725039,36250,197453,981789,152417,36315,297796
Nagaon,159,234756,1115246,123195,623080,1848260,522740,94552,952388
Nalbari,90,76848,507083,47688,238817,752708,194006,29538,345203
Sivasagar,107,86552,431266,57303,199905,639604,184819,35768,322225
Sonitpur,136,146088,791308,83820,368712,1164797,289817,66843,581643
South Salmara,17,17152,143394,7112,67762,244621,48396,8131,93045
Tamulpur,22,38384,191286,24895,96645,304926,89518,14084,149113
Tinsukia,156,126423,944692,78370,315021,1319237,273594,59084,500528
Udalguri,52,119073,538612,70866,289095,888722,254538,33185,441353
West Karbi Anglong,22,19932,72972,15451,48908,119442,52579,15848,84688
