district,Total Branch,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt.,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt.,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt.,SUI NPA NO,SUI NPA AMT
Bajali,32,2951,6464.23,6,16.22,21,13.88,192,369.7,9,4.88,202,688.22,88,143.92,2868,5735.3,69,43.59,5,79.49,1,1.4
Baksa,39,4773,11676.66,24,39.59,162,134.87,68,233.33,15,10.2,718,1200.09,457,634.6,4063,9385.15,215,117.83,6,72.93,3,21.18
Barpeta,93,9525,19066.43,123,119.02,325,145.7,983,1728.38,213,52.89,1455,3417.48,598,1076.03,10850,19685.58,728,428.24,64,926.74,8,120.21
Biswanath,60,8344,19125.22,261,466.78,95,117.4,93,213.85,3,2.05,289,713.8,109,148.83,8196,16890.02,795,238.81,20,234.48,4,23.2
Bongaigaon,66,5284,11382.73,145,140.95,49,34.19,130,260.93,27,17.31,584,1284.14,261,370.8,5385,12013.93,122,66.3,84,716.88,9,49.88
Cachar,169,8042,14884.48,135,274.26,184,82.4,435,737.2,68,32.39,1053,2934.95,410,597.86,8252,13918.26,499,184.5,96,1376.69,5,66.66
Charaideo,37,4077,8825.19,50,46.16,44,28.33,27,25.8,8,3.8,169,389.83,98,189.94,4331,9149.25,89,53.38,11,179.56,2,27.27
Chirang,40,4116,9809.79,272,564.54,104,61.58,62,60.43,6,3,1214,1521.95,952,973.57,2995,6924.57,204,91.6,25,352.52,1,5.94
Darrang,71,7351,16461.1,93,148.55,113,108.21,336,608.49,28,20.82,607,1208.22,332,480.3,8637,16549.29,574,497.96,33,438.45,10,100.4
Dhemaji,48,7490,18607.73,200,377.52,117,47.78,229,483.25,47,61.28,934,2423.31,370,640.09,8078,18514.31,454,179.25,14,178.52,0,0.06
Dhubri,91,8386,13688.04,422,665.85,348,155.82,443,411.2,215,126.16,1437,2271.63,737,857.6,8433,13113.32,579,284.39,30,571.21,0,0.05
Dibrugarh,191,8990,22523.33,292,698.06,196,93.5,644,1612.58,70,47.34,1272,3763.36,541,934.83,8974,20680.79,281,146.83,173,2477.86,19,241.23
Dima Hasao,32,1122,2550.8,18,18,8,11.56,62,101.95,17,17.76,253,591.28,79,135.94,1290,2780.4,74,36.88,6,58.48,1,15.74
Goalpara,73,7452,17353.41,101,214.38,171,102.21,177,193.71,107,89.88,704,1013.95,451,545.21,6952,14249.16,676,308.99,37,333.77,11,56.55
Golaghat,127,10486,27218.16,296,583.36,97,62.09,214,500.88,22,9.28,677,1584.66,356,647.48,10603,26358,183,100.91,61,919.99,3,32.79
Hailakandi,47,3632,6823.91,200,225.36,107,56.67,389,572.92,75,50.01,668,1798.63,249,387.01,3543,5820.26,353,122.48,11,121.23,1,11.52
Hojai,60,5129,9207.55,95,179.85,85,53.15,366,582.91,60,32.59,340,897.88,87,128.7,5543,9821.16,166,111.51,61,618.22,23,86.39
Jorhat,139,7977,20088.55,174,427.4,28,20.9,923,2198.33,23,10.57,516,1219.99,233,322.08,7938,19524.31,73,35.7,121,2106.12,9,86.45
Kamrup,179,14183,32457.88,431,1018.78,372,267.95,450,874.07,28,28.19,1363,2864.74,598,786.15,11392,24012.04,929,663.78,106,988.06,6,82.28
Kamrup Metro,471,2615,5528.1,35,39.66,99,79.5,984,1964.97,101,87.35,1072,3910.73,349,661.46,5113,9104.86,248,234.65,595,9818.14,73,753.11
Karbi Anglong,68,6663,18340.97,43,36.53,66,31.08,55,119.74,1,0,426,613.93,221,187.27,7508,19858.29,203,54.89,43,624.33,4,19.32
Karimganj,95,4124,7192.89,59,107.03,133,88.13,263,421.55,90,47.15,586,1479.53,249,458.22,5088,8252.71,598,201.88,28,613.24,9,86.34
Kokrajhar,59,6019,11231.5,249,241.19,49,25.94,67,57.32,8,7.2,1650,2154.63,1227,1347.33,4289,7690.93,209,77.71,25,386.43,1,7.06
Lakhimpur,94,10574,22263.56,277,463.55,209,61.83,347,462.39,152,63.71,1075,3051.6,513,918.28,10861,21068.19,659,169.42,50,748.35,10,87.51
Majuli,17,2009,3896.17,36,45.15,32,22.12,26,29.52,9,4.78,180,336.76,48,69.34,2162,3960.33,80,31.77,13,112.97,0,0
Morigaon,68,6297,12693.21,185,393.51,381,217.08,645,675.98,365,221.64,737,1367.49,469,706.39,8000,13892.77,1569,713.05,47,539.74,12,75.62
Nagaon,157,15593,35042.6,272,436.22,220,114.23,648,1476.95,28,22.56,1145,3286.25,580,951.81,15957,32822.9,426,304.2,93,1103.33,16,115.54
Nalbari,89,8317,20366.19,115,296.93,150,122.03,245,684.3,17,13.33,927,2123,473,758.99,9528,20339.14,521,292.53,49,657.15,6,48.14
Sivasagar,106,5795,11993.87,74,105.64,72,31.5,283,428.45,55,26.46,741,2509.47,251,469.85,6031,11964.31,142,73.19,57,715.4,6,57.93
Sonitpur,135,9794,22871.42,117,135.03,249,115.69,416,733.08,9,11.42,1079,2663.33,407,613.74,9618,18904.29,850,350.55,144,2074.02,20,278.22
South Salmara,16,984,1769.95,7,2.71,146,38.75,4,5.81,0,0,377,442.27,297,298.31,1003,1915.59,10,3.67,2,68.11,0,0
Tamulpur,22,2485,6364.88,19,14.37,17,17.86,16,50.74,0,0,146,293.78,96,144.03,2079,5012.3,65,26.64,2,74.82,0,0
Tinsukia,155,8103,21242.9,142,221.99,128,64.98,1523,3312.72,71,44.23,1266,3821.26,502,843.57,7932,18723.39,359,165.78,147,2573.04,7,27.45
Udalguri,52,6665,14174.51,123,135.38,68,98.12,74,139.58,4,3.39,1389,2235.61,1264,1970.81,4249,7906.73,458,295.7,16,378.38,1,11.1
West Karbi Anglong,22,2407,5801.75,26,24,47,14.46,64,190.18,0,0,15,46.68,4,6.66,2952,6235.3,312,66.76,6,65.99,1,11.44
