District,Rural,Semi-Urban,Urban,Total,ATM Rural,ATM Semi-Urban,ATM Urban,ATM Total,POS,Card Total
Araria,77,76,156,87,3,108,1500542,706,,
Arwal,19,1,60,20,11,1,32,414804,238,
Aurangabad,120,37,27,184,44,40,42,126,1736695,723
Banka,74,38,2,114,32,48,2,82,756199,351
Begusarai,84,99,40,223,40,73,65,178,1469290,1528
Bhagalpur,102,92,85,279,45,90,153,288,1489224,2094
Bhojpur,131,54,48,233,40,44,112,196,1612637,1421
Buxar,88,36,30,154,25,16,50,91,1099771,697
Darbhanga,111,64,67,242,50,30,142,222,2309582,1834
Gaya,177,40,91,308,83,37,211,331,2784569,2530
Gopalganj,118,62,2,182,47,76,11,134,1753052,894
Jamui,76,39,1,116,14,25,1,40,933817,437
Jehanabad,57,12,26,95,18,9,43,70,661705,427
Kaimur (Bhabua),82,34,3,119,50,3,62,1070484,552,
Katihar,101,36,42,179,30,22,75,127,1654196,789
Khagaria,54,57,4,151,17,53,9,79,644920,486
Kishanganj,60,26,22,108,13,16,44,73,1068582,452
Lakhisarai,45,33,1,79,4,28,4,36,461707,302
Madhepura,38,72,1,111,10,65,6,81,1346986,750
Madhubani,123,150,1,274,47,121,7,175,2386775,1338
Munger,62,28,40,130,21,21,56,98,740841,740
Muzaffarpur,182,82,116,380,93,50,273,416,2798941,4201
Nalanda,147,62,42,251,27,59,79,165,1614636,1125
Nawada,73,61,3,137,8,53,3,64,1362508,500
Pashchim Champaran,94,71,41,206,37,48,157,2474374,1107,
Patna,216,165,547,928,160,183,1142,1485,5284629,17053
Purbi Champaran,106,125,47,278,41,56,88,185,2989358,2116
Purnia,102,48,73,223,33,22,106,161,2323033,1430
Rohtas,135,45,47,227,22,57,74,153,1924048,1152
Saharsa,51,26,26,103,10,8,75,93,1188083,753
Samastipur,163,121,1,285,49,138,18,205,2388156,1256
Saran,163,49,48,260,46,39,97,182,2707260,1321
Sheikhpura,30,30,1,61,28,5,38,306449,150,
Sheohar,20,24,45,14,2,24,187453,169,,
Sitamarhi,68,103,0,171,33,71,8,112,1652676,804
Siwan,132,63,47,242,47,37,83,167,1944404,1170
Supaul,48,70,1,119,26,65,2,93,1476325,594
Vaishali,137,62,44,243,49,45,123,217,2050617,1755
