District,Col_1,Col_2
Araria,77,83
Arwal,40,24
Aurangabad,120,68
Banka,74,44
Bhojpur,131,60
Gopalganj,118,119
Nalanda,147,106
Nawada,73,56
Patna,216,106
Rohtas,135,66
Saharsa,51,28
Samastipur,163,122
