District,Branch,Deposits,Advances,CD Ratio
Araria,156,434482,254880,58.66
Arwal,60,171479,49254,28.72
Aurangabad,184,766166,341779,44.61
Begusarai,223,877373,447645,51.02
Bhagalpur,279,1382230,489911,35.44
Bhojpur,233,1141741,305285,26.74
Buxar,154,613471,221362,36.08
Darbhanga,242,1194835,379951,31.80
Gaya,308,1606656,606841,37.77
Gopalganj,182,828556,263241,31.77
Jamui,116,353908,150358,42.49
Jehanabad,95,391255,125260,32.01
Kaimur (Bhabua),119,360255,193476,53.71
Katihar,179,613186,301969,49.25
Khagaria,115,328674,184807,56.23
Kishanganj,108,303396,183761,60.57
Lakhisarai,79,301135,99336,32.99
Madhepura,111,340299,172367,50.65
Madhubani,274,902881,292271,32.37
Munger,130,718125,185726,25.86
Muzaffarpur,380,1838273,853943,46.45
Nalanda,251,1044547,326308,31.24
Nawada,137,510969,198276,38.80
Pashchim Champaran,206,621507,345411,55.58
Patna,928,11826506,4194974,35.47
Purbi Champaran,278,983990,503983,51.22
Purnia,223,664114,498576,75.07
Rohtas,227,946456,404386,42.73
Saharsa,103,417993,173374,41.48
Samastipur,285,1028606,478476,46.52
Saran,260,1366991,356073,26.05
Sheikhpura,61,185029,72153,39.00
Sheohar,45,19441,50146,53.11
Sitamarhi,171,606845,239012,39.39
Siwan,242,1246916,402880,32.31
Supaul,119,380789,177881,46.71
Vaishali,243,1020433,517286,50.69
