district,digital_coverage_for_individuals_savings_accounts_eligible_operative_savings_accounts_no_of_accounts,digital_coverage_for_individuals_savings_accounts_eligible_operative_savings_accounts_of_which_no_of_women_accounts,digital_coverage_for_individuals_savings_accounts_debit_rupay_cards_coverage_total_no_of_accounts_covered,digital_coverage_for_individuals_savings_accounts_debit_rupay_cards_coverage_pct_coverage,digital_coverage_for_individuals_savings_accounts_debit_rupay_cards_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,digital_coverage_for_individuals_savings_accounts_debit_rupay_cards_coverage_pct_coverage_for_women_accounts,digital_coverage_for_individuals_savings_accounts_internet_banking_coverage_total_no_of_accounts_covered,digital_coverage_for_individuals_savings_accounts_internet_banking_coverage_pct_coverage,digital_coverage_for_individuals_savings_accounts_internet_banking_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,digital_coverage_for_individuals_savings_accounts_internet_banking_coverage_pct_coverage_for_women_accounts,mobile_banking_upi_ussd_coverage_total_no_of_accounts_covered,mobile_banking_upi_ussd_coverage_pct_coverage,mobile_banking_upi_ussd_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,mobile_banking_upi_ussd_coverage_pct_coverage_for_women_accounts,aeps_coverage_total_no_of_accounts_covered,aeps_coverage_pct_coverage,aeps_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,aeps_coverage_pct_coverage_for_women_accounts,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_total_no_of_accounts_covered,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_pct_coverage,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_pct_coverage_for_women_accounts,no_of_operative_sb_accounts_ineligible_for_digital_coverage_as_per_bank_s_board_approved_policies_pct_coverage_for_women_accounts,digital_coverage_for_individuals_current_accounts_total_no_of_eligible_operative_current_business_accounts,digital_coverage_for_individuals_current_accounts_eligible_operative_current_business_accounts_covered_through_net_banking_no_of_accounts_covered,digital_coverage_for_individuals_current_accounts_eligible_operative_current_business_accounts_covered_through_net_banking_pct_coverage,digital_coverage_for_individuals_current_accounts_eligible_operative_current_business_accounts_covered_with_pos_qr_no_of_accounts_covered,digital_coverage_for_individuals_current_accounts_eligible_operative_current_business_accounts_covered_with_pos_qr_pct_coverage,digital_coverage_for_individuals_current_accounts_eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_no_of_accounts_covered,digital_coverage_for_individuals_current_accounts_eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_pct_coverage,digital_coverage_for_individuals_current_accounts_eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_no_of_accounts_covered,digital_coverage_for_individuals_current_accounts_eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_pct_coverage,digital_coverage_for_individuals_current_accounts_no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_per_bank_s_board_approved_policies_pct_coverage
Dhalai,616469,307221,213194,34.58,91893,29.91,52539,8.52,15267,4.97,149526,24.26,63385,20.63,481368,78.08,243634,79.3,616469,100,307221,100,6660,6805,2481,36.46,3029,44.51,3402,49.99,6805,100,266
Gomati,793539,400538,312986,39.44,135832,33.91,109149,13.75,36226,9.04,235847,29.72,99129,24.75,587507,74.04,294785,73.6,793539,100,400538,100,10504,12735,4183,32.85,4651,36.52,4256,33.42,12735,100,528
Khowai,552101,276262,218410,39.56,91835,33.24,67724,12.27,28033,10.15,147291,26.68,69215,25.05,383432,69.45,191420,69.29,552101,100,276262,100,7440,6586,2407,36.55,2666,40.48,3829,58.14,6586,100,484
North Tripura,693446,346702,324000,46.72,146112,42.14,106758,15.4,37080,10.7,188747,27.22,74553,21.5,491390,70.86,247464,71.38,693446,100,346702,100,8759,9685,4420,45.64,4797,49.53,3741,38.63,9685,100,854
Sepahijala,772730,385764,304873,39.45,130747,33.89,94216,12.19,33481,8.68,228933,29.63,108843,28.21,529233,68.49,263476,68.3,772730,100,385764,100,9695,9814,3198,32.59,4128,42.06,5425,55.28,9814,100,301
South Tripura,752270,360184,258834,34.41,95903,26.63,90351,12.01,21264,5.9,179766,23.9,71105,19.74,548878,72.96,264314,73.38,752270,100,360184,100,7545,10170,3796,37.33,4201,41.31,4600,45.23,10170,100,444
Unakoti,465727,233877,188303,40.43,84098,35.96,63945,13.73,23543,10.07,108288,23.25,51036,21.82,334820,71.89,170791,73.03,465727,100,233877,100,3167,7290,2631,36.09,2473,33.92,3027,41.52,7290,100,385
West Tripura,1944540,970146,1107089,56.93,486103,50.11,511361,26.3,169748,17.5,787317,40.49,326448,33.65,1321552,67.96,641865,66.16,1944540,100,970146,100,33353,48130,25305,52.58,15853,32.94,21637,44.96,48130,100,3405
