district,total_branch,branch_rural,branch_semi_urban,branch_urban,branch_rural_prev_fy,branch_rural_prev_q,branch_rural_growth_abs,branch_rural_growth_pct,branch_semi_urban_prev_fy,branch_semi_urban_prev_q,branch_semi_urban_growth_abs,branch_semi_urban_growth_pct,branch_urban_prev_fy,branch_urban_prev_q,branch_urban_growth_abs,branch_urban_growth_pct,branch_total_prev_fy,branch_total_prev_q,branch_total_growth_abs,branch_total_growth_pct
Balod,109,70,38,1,69,69,1,1.4493,37,37,1,2.7027,1,1,0,0,107,107,2,1.8692
Baloda Bazar,113,49,64,0,49,48,0,0,64,64,0,0,0,0,0,,113,112,0,0
Balrampur,74,61,12,1,60,57,1,1.6667,12,12,0,0,1,1,0,0,73,70,1,1.3699
Bastar,118,74,4,40,74,72,0,0,4,4,0,0,38,39,2,5.2632,116,115,2,1.7241
Bemetara,83,55,27,1,54,52,1,1.8519,27,26,0,0,1,1,0,0,82,79,1,1.2195
Bijapur,46,38,8,0,38,37,0,0,8,8,0,0,0,0,0,,46,45,0,0
Bilaspur,259,69,39,151,69,69,0,0,39,42,0,0,149,141,2,1.3423,257,252,2,0.7782
Dantewada,44,22,22,0,22,22,0,0,21,21,1,4.7619,0,0,0,,43,43,1,2.3256
Dhamtari,112,54,21,37,54,53,0,0,22,22,-1,-4.5455,37,37,0,0,113,112,-1,-0.885
Durg,304,76,40,188,76,76,0,0,40,40,0,0,186,179,2,1.0753,302,295,2,0.6623
Gariaband,62,36,26,0,36,34,0,0,26,25,0,0,0,0,0,,62,59,0,0
Gaurela-Pendra-Marwahi,27,9,18,0,9,8,0,0,16,15,2,12.5,0,0,0,,25,23,2,8
Janjgir-Champa,119,59,58,2,59,58,0,0,58,58,0,0,2,2,0,0,119,118,0,0
Jashpur,88,43,43,2,41,41,2,4.878,43,43,0,0,2,1,0,0,86,85,2,2.3256
Kabirdham,83,44,37,2,43,41,1,2.3256,37,37,0,0,2,2,0,0,82,80,1,1.2195
Kanker,102,61,40,1,60,60,1,1.6667,38,38,2,5.2632,1,1,0,0,99,99,3,3.0303
Khairagarh-Chhuikhadan-Gandai,39,21,16,2,21,20,0,0,16,15,0,0,2,2,0,0,39,37,0,0
Kondagaon,55,27,27,1,26,26,1,3.8462,26,26,1,3.8462,1,1,0,0,53,53,2,3.7736
Korba,134,44,28,62,44,42,0,0,27,27,1,3.7037,60,59,2,3.3333,131,128,3,2.2901
Korea,38,16,21,1,14,14,2,14.2857,22,20,-1,-4.5455,1,1,0,0,37,35,1,2.7027
Mahasamund,125,53,71,1,52,52,1,1.9231,71,71,0,0,1,1,0,0,124,124,1,0.8065
Manendragarh-Chirmiri-Bharatpur,54,24,29,1,26,26,-2,-7.6923,28,29,1,3.5714,1,1,0,0,55,56,-1,-1.8182
Mohla-Manpur-Ambagarh Chowki,31,29,1,1,29,28,0,0,1,1,0,0,1,1,0,0,31,30,0,0
Mungeli,52,23,28,1,23,23,0,0,28,28,0,0,1,1,0,0,52,52,0,0
Narayanpur,20,7,13,0,7,7,0,0,13,13,0,0,0,0,0,,20,20,0,0
Raigarh,147,65,27,55,65,65,0,0,26,26,1,3.8462,54,50,1,1.8519,145,141,2,1.3793
Raipur,538,105,66,367,103,103,2,1.9417,66,65,0,0,361,352,6,1.662,530,520,8,1.5094
Rajnandgaon,128,52,22,54,51,49,1,1.9608,22,22,0,0,53,50,1,1.8868,126,121,2,1.5873
Sakti,53,32,21,0,32,32,0,0,21,21,0,0,0,0,0,,53,53,0,0
Sarangarh-Bilaigarh,50,32,18,0,31,30,1,3.2258,18,16,0,0,0,0,0,,49,46,1,2.0408
Sukma,33,27,6,0,27,26,0,0,6,6,0,0,0,0,0,,33,32,0,0
Surajpur,89,60,26,3,59,57,1,1.6949,26,25,0,0,3,3,0,0,88,85,1,1.1364
Surguja,104,57,3,44,57,57,0,0,3,3,0,0,44,43,0,0,104,103,0,0
