district,total_atm,atm_rural,atm_semi_urban,atm_urban,atm_rural_prev_fy,atm_rural_prev_q,atm_rural_growth_abs,atm_rural_growth_pct,atm_semi_urban_prev_fy,atm_semi_urban_prev_q,atm_semi_urban_growth_abs,atm_semi_urban_growth_pct,atm_urban_prev_fy,atm_urban_prev_q,atm_urban_growth_abs,atm_urban_growth_pct,atm_total_prev_fy,atm_total_prev_q,atm_total_growth_abs,atm_total_growth_pct
Balod,85,38,46,1,38,39,0,0,48,48,-2,-4.1667,1,1,0,0,87,88,-2,-2.2989
Baloda Bazar,97,26,69,2,23,21,3,13.0435,69,71,0,0,2,2,0,0,94,94,3,3.1915
Balrampur,41,21,18,2,19,18,2,10.5263,18,17,0,0,2,1,0,0,39,36,2,5.1282
Bastar,73,33,3,37,34,21,-1,-2.9412,3,3,0,0,86,85,-49,-56.9767,123,109,-50,-40.6504
Bemetara,57,24,32,1,24,24,0,0,32,31,0,0,1,1,0,0,57,56,0,0
Bijapur,22,11,11,0,11,8,0,0,11,11,0,0,0,0,0,,22,19,0,0
Bilaspur,320,26,34,260,29,28,-3,-10.3448,37,35,-3,-8.1081,251,260,9,3.5857,317,323,3,0.9464
Dantewada,51,8,43,0,8,6,0,0,44,44,-1,-2.2727,0,0,0,,52,50,-1,-1.9231
Dhamtari,88,26,19,43,26,21,0,0,20,25,-1,-5,43,46,0,0,89,92,-1,-1.1236
Durg,457,51,33,373,50,51,1,2,33,31,0,0,376,380,-3,-0.7979,459,462,-2,-0.4357
Gariaband,51,26,24,1,25,23,1,4,25,24,-1,-4,1,1,0,0,51,48,0,0
Gaurela-Pendra-Marwahi,26,1,24,1,1,0,0,0,24,22,0,0,1,1,0,0,26,23,0,0
Janjgir-Champa,114,34,78,2,35,36,-1,-2.8571,78,79,0,0,2,1,0,0,115,116,-1,-0.8696
Jashpur,62,11,47,4,11,11,0,0,47,47,0,0,5,2,-1,-20,63,60,-1,-1.5873
Kabirdham,72,18,53,1,18,15,0,0,52,54,1,1.9231,1,1,0,0,71,70,1,1.4085
Kanker,77,27,49,1,28,24,-1,-3.5714,49,50,0,0,1,1,0,0,78,75,-1,-1.2821
Khairagarh-Chhuikhadan-Gandai,26,10,14,2,8,7,2,25,15,14,-1,-6.6667,2,2,0,0,25,23,1,4
Kondagaon,48,9,37,2,9,5,0,0,36,34,1,2.7778,2,1,0,0,47,40,1,2.1277
Korba,174,23,23,128,22,21,1,4.5455,23,21,0,0,131,128,-3,-2.2901,176,170,-2,-1.1364
Korea,45,3,40,2,3,2,0,0,39,37,1,2.5641,2,1,0,0,44,40,1,2.2727
Mahasamund,103,35,68,0,33,32,2,6.0606,65,65,3,4.6154,0,0,0,,98,97,5,5.102
Manendragarh-Chirmiri-Bharatpur,36,8,26,2,8,8,0,0,26,26,0,0,2,1,0,0,36,35,0,0
Mohla-Manpur-Ambagarh Chowki,17,15,1,1,15,16,0,0,1,1,0,0,1,0,0,0,17,17,0,0
Mungeli,44,10,32,2,9,6,1,11.1111,31,27,1,3.2258,2,8,0,0,42,41,2,4.7619
Narayanpur,21,1,20,0,1,1,0,0,20,20,0,0,0,0,0,,21,21,0,0
Raigarh,159,30,39,90,31,29,-1,-3.2258,40,39,-1,-2.5,91,91,-1,-1.0989,162,159,-3,-1.8519
Raipur,784,87,62,635,87,82,0,0,64,66,-2,-3.125,643,640,-8,-1.2442,794,788,-10,-1.2594
Rajnandgaon,131,22,16,93,22,20,0,0,16,19,0,0,94,86,-1,-1.0638,132,125,-1,-0.7576
Sakti,42,19,23,0,20,17,-1,-5,22,20,1,4.5455,0,0,0,,42,37,0,0
Sarangarh-Bilaigarh,46,16,29,1,15,13,1,6.6667,29,28,0,0,1,1,0,0,45,42,1,2.2222
Sukma,16,7,9,0,7,6,0,0,9,9,0,0,0,0,0,,16,15,0,0
Surajpur,57,18,37,2,16,14,2,12.5,38,38,-1,-2.6316,2,2,0,0,56,54,1,1.7857
Surguja,112,28,2,82,28,25,0,0,2,1,0,0,81,81,1,1.2346,111,107,1,0.9009
