district,acp_agri_target,acp_agri_achievement,acp_agri_pct,acp_msme_target,acp_msme_achievement,acp_msme_pct,acp_other_psa_target,acp_other_psa_achievement,acp_other_psa_pct,acp_total_target,acp_total_achievement,acp_total_pct
Balod,1201.2,465.01,38.7121,399.99,164.89,41.2235,96.98,12.93,13.3326,1698.17,642.83,37.8543
Baloda Bazar,2010.86,904.54,44.9827,680.34,323.99,47.6218,129.81,24.07,18.5425,2821.01,1252.6,44.4025
Balrampur,524.6,81.46,15.528,176.56,92.22,52.2315,47.26,5.7,12.0609,748.42,179.38,23.9678
Bastar,751.58,233.08,31.012,784.61,347.03,44.2296,75.99,13.54,17.8181,1612.18,593.65,36.8228
Bemetara,1872.78,554.61,29.6143,266.76,119.48,44.7893,48.19,6.78,14.0693,2187.73,680.87,31.1222
Bijapur,152.24,48.08,31.5817,34.63,16.48,47.5888,26.91,0.61,2.2668,213.78,65.17,30.4846
Bilaspur,1690.48,738.11,43.6627,4880.8,2435.08,49.891,369.44,64.98,17.5888,6940.72,3238.17,46.6547
Dantewada,67.15,17.17,25.5696,113.33,43.81,38.657,13.26,2.4,18.0995,193.74,63.38,32.7139
Dhamtari,1279.77,770.84,60.2327,570.85,367.15,64.3164,108.28,12.99,11.9967,1958.9,1150.98,58.7564
Durg,0,884.19,#DIV/0!,0,3331.26,#DIV/0!,0,80.92,#DIV/0!,0,4296.37,#DIV/0!
Gariaband,715.5,240.11,33.5584,170,69.53,40.9,93.04,2.29,2.4613,978.54,311.93,31.8771
Gaurela-Pendra-Marwahi,229.71,82.75,36.0237,176.95,80.85,45.6909,28.92,5,17.2891,435.58,168.6,38.707
Janjgir-Champa,999.63,319.04,31.9158,740.98,356.32,48.0877,151.14,21.84,14.4502,1891.75,697.2,36.8548
Jashpur,404.02,123.77,30.6346,473.31,210.92,44.5628,64.29,7.59,11.8059,941.62,342.28,36.3501
Kabirdham,1405.02,612.44,43.5894,440.73,188.07,42.6724,198.24,52.62,26.5436,2043.99,853.13,41.7385
Kanker,1032.11,346.57,33.5788,437.63,197.8,45.198,57.31,8.61,15.0236,1527.05,552.98,36.2123
Khairagarh-Chhuikhadan-Gandai,812.72,336.1,41.355,78.36,27.55,35.1582,108.24,26.06,24.0761,999.32,389.71,38.9975
Kondagaon,494.96,160.28,32.3824,251.68,99.28,39.4469,39.9,10.27,25.7393,786.54,269.83,34.3059
Korba,500.08,137.51,27.4976,1948.2,842.95,43.2681,172.88,26.37,15.2534,2621.16,1006.83,38.4116
Korea,147.63,42.53,28.8085,128.81,73,56.6726,24.72,3.74,15.1294,301.16,119.27,39.6035
Mahasamund,2011.47,699.29,34.7651,470.45,239.96,51.0065,74.03,11.43,15.4397,2555.95,950.68,37.1948
Manendragarh-Chirmiri-Bharatpur,227.18,58.31,25.6669,203.87,114.04,55.9376,23.79,3.21,13.4931,454.84,175.56,38.5982
Mohla-Manpur-Ambagarh Chowki,214.43,93.06,43.3988,33.72,17.45,51.7497,45.02,12.72,28.2541,293.17,123.23,42.0336
Mungeli,729.09,225.36,30.9098,230.97,102.78,44.4993,38.15,6.79,17.7982,998.21,334.93,33.5531
Narayanpur,77.21,30.19,39.1012,53.17,17.71,33.3083,18.78,2.91,15.4952,149.16,50.81,34.0641
Raigarh,898.39,333.58,37.1309,2468.15,1249.88,50.6404,133.3,24.71,18.5371,3499.84,1608.17,45.9498
Raipur,3500.01,2290.52,65.4432,24354.93,12734.92,52.2889,3326,259.15,7.7916,31180.94,15284.59,49.019
Rajnandgaon,1729.59,749.57,43.338,999.97,489.79,48.9805,316.02,65.96,20.8721,3045.58,1305.32,42.8595
Sakti,641.16,202.91,31.6473,423.88,205.44,48.4665,85.59,13.79,16.1117,1150.63,422.14,36.6877
Sarangarh-Bilaigarh,608.35,170.11,27.9625,159.47,87.18,54.6686,19.56,2.8,14.3149,787.38,260.09,33.0323
Sukma,82.24,32.33,39.3118,43,14.24,33.1163,8.55,1.22,14.269,133.79,47.79,35.7202
Surajpur,490.29,164.56,33.5638,372.21,184.74,49.6333,58.7,6.21,10.5792,921.2,355.51,38.5921
Surguja,731.18,226.41,30.965,1140.77,640.73,56.1664,108.1,12.85,11.8871,1980.05,879.99,44.4428
