district,total_deposit,total_advance,overall_cd_ratio,deposits_prev_fy,deposits_prev_quarter,deposits_growth_abs,deposits_growth_pct,advances_prev_fy,advances_prev_quarter,advances_growth_abs,advances_growth_pct,cd_ratio_prev_fy,cd_ratio_prev_quarter,cd_ratio_benchmark
Balod,5550.49,2239.31,40.3444,5741.8,4607.69,-191.31,-3.3319,1975.08,2000.1,264.23,13.3782,34.3983,43.4079,40
Baloda Bazar,6063,3898.44,64.2989,6327.84,5019,-264.84,-4.1853,3477.27,3310.41,421.17,12.1121,54.9519,65.9576,40
Balrampur,2880.44,1181.55,41.0198,3017.4,2292.11,-136.96,-4.539,1131.72,1013.55,49.83,4.403,37.5065,44.2191,40
Bastar,6150.99,4165.4,67.7192,6416.45,5359.78,-265.46,-4.1372,3960.72,3524.24,204.68,5.1677,61.7276,65.7534,40
Bemetara,4187.46,2205.76,52.6754,4609.83,3235.86,-422.37,-9.1624,2039.72,1968.71,166.04,8.1403,44.2472,60.8404,40
Bijapur,1121.66,653.66,58.2761,1160.39,959.57,-38.73,-3.3377,602.23,529.65,51.43,8.5399,51.8989,55.1966,40
Bilaspur,29359.19,17427.13,59.3583,29579.08,26803.09,-219.89,-0.7434,17131.5,14214.23,295.63,1.7257,57.9176,53.0321,40
Dantewada,2489.13,2709.85,108.8674,2507.71,2244.7,-18.58,-0.7409,2529.81,3379.39,180.04,7.1167,100.8813,150.5497,40
Dhamtari,5685,3617.54,63.6331,5919.03,4671.02,-234.03,-3.9539,3341.34,3095.9,276.2,8.2661,56.4508,66.2789,40
Durg,34171.64,20433.07,59.7954,33823.71,30409.94,347.93,1.0287,19445.66,16726.32,987.41,5.0778,57.4912,55.0028,40
Gariaband,2292.64,1317.15,57.4512,2489.4,1859.31,-196.76,-7.9039,1237.56,1126.13,79.59,6.4312,49.7132,60.5671,40
Gaurela-Pendra-Marwahi,1417.47,758.67,53.5228,1465.94,1217.36,-48.47,-3.3064,720,579.46,38.67,5.3708,49.1152,47.5997,40
Janjgir-Champa,6878.16,3607.76,52.4524,7148.59,5760.24,-270.43,-3.783,3457.48,3050.34,150.28,4.3465,48.3659,52.9551,40
Jashpur,4189.32,2083.18,49.726,4348,3422.36,-158.68,-3.6495,2013.05,1624.28,70.13,3.4838,46.2983,47.4608,40
Kabirdham,3340.8,2626.59,78.6216,3513.06,2728.81,-172.26,-4.9034,2200.19,2265.48,426.4,19.3801,62.6289,83.0208,40
Kanker,4308.43,2551.12,59.2123,4368.58,3618.48,-60.15,-1.3769,2379.08,2119.75,172.04,7.2314,54.4589,58.5812,40
Khairagarh-Chhuikhadan-Gandai,1636.9,993.41,60.6885,1731.12,1264.39,-94.22,-5.4427,758.51,845.45,234.9,30.9686,43.8161,66.8662,40
Kondagaon,2364.14,1529.63,64.7013,2453.07,2010.85,-88.93,-3.6253,1425.47,1334.79,104.16,7.3071,58.1096,66.3794,40
Korba,12025.34,7414.33,61.6559,11874.35,10702.96,150.99,1.2716,7253.69,6539.27,160.64,2.2146,61.087,61.0978,40
Korea,2293.21,1859.14,81.0715,2291.25,1954.19,1.96,0.0855,1870.82,640.94,-11.68,-0.6243,81.6506,32.7982,40
Mahasamund,5366.97,4174.29,77.7774,5833.87,4214.63,-466.9,-8.0033,3844.75,3537.28,329.54,8.5712,65.9039,83.9286,40
Manendragarh-Chirmiri-Bharatpur,3613.89,1163.18,32.1864,3822.8,3544.36,-208.91,-5.4648,1156.08,2174.51,7.1,0.6141,30.2417,61.3513,40
Mohla-Manpur-Ambagarh Chowki,1110.63,394.79,35.5465,1202.19,923.74,-91.56,-7.6161,313.57,330.52,81.22,25.9017,26.0832,35.7806,40
Mungeli,2372.06,1451.69,61.1995,2639.44,1903.21,-267.38,-10.1302,1329.01,1270.3,122.68,9.2309,50.352,66.7451,40
Narayanpur,809.97,409.64,50.5747,807.16,735.28,2.81,0.3481,379.08,330.74,30.56,8.0616,46.9647,44.9815,40
Raigarh,10427.62,8587.91,82.3573,10547.44,9200.3,-119.82,-1.136,7996.82,6802.07,591.09,7.3916,75.8176,73.9331,40
Raipur,85069.8,99528.95,116.9968,88195.4,73017.78,-3125.6,-3.5439,95031.59,81734.15,4497.36,4.7325,107.7512,111.9373,40
Rajnandgaon,8162.92,5023.81,61.5443,8475.56,6914.86,-312.64,-3.6887,4643.1,4209.92,380.71,8.1995,54.7822,60.8822,40
Sakti,3044.29,1472.72,48.3765,3322.74,2432.68,-278.45,-8.3801,1364.57,1235.39,108.15,7.9256,41.0676,50.7831,40
Sarangarh-Bilaigarh,2283.55,1198.47,52.4828,2493.2,1825.89,-209.65,-8.4089,1120.19,1033.21,78.28,6.9881,44.9298,56.5867,40
Sukma,1109.16,515.81,46.5046,1151.35,989.7,-42.19,-3.6644,479.36,430.73,36.45,7.6039,41.6346,43.5213,40
Surajpur,4861.42,1880.51,38.6823,4975.53,4166.45,-114.11,-2.2934,1770.43,1616.57,110.08,6.2177,35.5827,38.7997,40
Surguja,7987.75,4161.69,52.1009,8672.09,6779.6,-684.34,-7.8913,3989.83,3572.74,171.86,4.3075,46.0077,52.6984,40
