district,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
East Garo Hills,116288,60602,16378
East Jaintia Hills,141467,56482,8242
East Khasi Hills,1072195,338965,138529
Eastern West Khasi Hills,104152,40396,2317
North Garo Hills,123971,48673,8883
Ri Bhoi,292627,103992,12840
South Garo Hills,81449,39195,9643
South West Garo Hills,140007,77427,25260
South West Khasi Hills,78635,30182,1374
West Garo Hills,494626,222728,78559
West Jaintia Hills,312674,113739,26918
West Khasi Hills,147360,54503,6523
