district,Tot Agri Amt. (PS) NPA,Tot Agri No. (PS) NPA,Ancillary Amt,Ancillary No,Agri Infra Amt,Agri Infra No,Term Loan Amt,Term Loan No,Crop Amt,Crop No
East Garo Hills,1210.03,3240,3.26,3,456.94,1567,54.74,88,695.09,1582
East Jaintia Hills,186.3,385,13.45,9,120.77,291,11.87,30,40.21,55
East Khasi Hills,4699.75,5838,874.89,108,1216.62,780,183.1,457,2425.14,4493
North Garo Hills,1765.24,4126,27.07,11,583.92,1660,17.74,32,1136.51,2423
Ri Bhoi,8832.05,15161,102.91,176,758.78,1620,125.49,276,7844.87,13089
South Garo Hills,863.11,2278,1.28,1,501.89,1252,56.56,88,303.38,937
South West Garo Hills,1834.76,4771,9.29,3,722.79,2076,23.27,60,1079.41,2632
South West Khasi Hills,201.27,300,0,0,110.39,108,6.32,9,84.56,183
West Garo Hills,3519.38,8144,333.65,35,801.96,2930,249.42,536,2134.35,4643
West Jaintia Hills,1264,1931,125.02,93,270.55,275,42.01,92,826.42,1471
West Khasi Hills,1920.3,3284,33.98,4,134.34,425,27.38,39,1724.6,2816
