district,Tot Disb Amt. Minority,Disb Tot No. Minority,JAINS Amt.,JAINS No.,ANS Amt. ZORASTRI-,No. TRIANS ZORAS-,Amt. SIKHS,No. SIKHS,Amt. BUD- DHISTS,No BUD- DHISTS,Amt. MUSLIMS,LIMS MUS- No,TIANS CHRIS- Amt,TIANS CHRIS- No.
East Garo Hills,390.18,179,0,0,0,0,0.1,3,15.07,1,202.28,100,172.73,75
East Jaintia Hills,2644.19,848,250,1,0,0,0,0,0,0,398.1,56,1996.09,791
East Khasi Hills,113008.01,12255,23.78,7,0,0,1054.56,219,85116.38,51,2414.75,472,24398.54,11506
North Garo Hills,208.63,95,0,0,0,0,0,0,0.97,1,105.28,20,102.38,74
Ri Bhoi,12374.15,3399,3.23,1,0,0,2399.7,11,0.59,2,6652.79,392,3317.84,2993
South Garo Hills,167.96,70,0,0,0,0,0,0,0,0,1.06,3,166.9,67
West Garo Hills,5524.11,2394,3.54,1,0,0,12.2,3,0.27,2,2481.32,803,3026.78,1585
West Jaintia Hills,3935.28,1562,0,0,0,0,4.07,1,0,0,35.41,8,3895.8,1553
West Khasi Hills,1865.27,1432,0,0,0,0,0,0,2.14,3,48.28,74,1814.85,1355
