district,SUI Amt. % NPA,Amt. NPA SUI,SUI No. NPA,SUI Amt. O/S,No. O/S SUI,SUI rent Total Amount Disb Year Cur-,Year Total No. SUI Disb Current,Sum Amount of Current to ST Male Year,No. to of Current ST Account Male Year,Sum to of Current SC Amount Male Year,of to Year SC Account Male No. Current,of Year Amount Female Sum Current,of Year Account Female No. Current
East Garo Hills,0,0,0,38.54,4,10.33,1,0,0,0,0,10.33,1
East Jaintia Hills,2.77,38.46,2,1388.11,54,68.6,3,15.1,1,0,0,53.5,2
East Khasi Hills,6.79,284.16,14,4186.3,277,1452.97,106,776.29,53,17.06,3,659.62,50
North Garo Hills,0,0,0,33.7,3,10.47,1,0,0,0,0,10.47,1
Ri Bhoi,8.29,92.31,7,1113.6,51,354.85,24,135.51,6,0,0,219.34,18
South Garo Hills,0,0,0,29.93,2,0,0,0,0,0,0,0,0
South West Garo Hills,4.67,11.92,1,255.45,11,53.41,4,0,0,0,0,53.41,4
South West Khasi Hills,0,0,0,20.79,1,0,0,0,0,0,0,0,0
West Garo Hills,8.38,71.04,6,847.33,56,468.2,43,56.81,9,0.3,1,411.09,33
West Jaintia Hills,11.18,60.33,3,539.48,37,209,17,30.97,5,0,0,178.03,12
West Khasi Hills,45.5,9.06,2,19.91,3,11,1,0,0,0,0,11,1
