district,Total No. Enrolment,APY Enrolment under,renewals PMSBY under,under eligible PMSBY cases,Enrolment PMSBY under,renewals PMJJBY under,under eligible PMJJBY cases,Enrolment PMJJBY under
East Garo Hills,44454,2942,26205,96264,30043,8753,63557,11469
East Jaintia Hills,69523,2423,28394,110715,40212,16873,103303,26888
East Khasi Hills,339079,20830,139247,851082,205810,72903,687262,112439
Eastern West Khasi Hills,40086,1164,17780,76033,23032,10667,78640,15890
North Garo Hills,58903,9167,30552,106493,35320,10639,65389,14416
Ri Bhoi,135709,5472,59868,238269,80913,29606,204740,49324
South Garo Hills,24510,1771,12873,70050,15809,4249,48418,6930
South West Garo Hills,76640,4113,47457,106391,54043,13515,66401,18484
South West Khasi Hills,25381,594,13289,58282,16485,4712,53609,8302
West Garo Hills,206410,15174,115868,386954,140312,35130,259993,50924
West Jaintia Hills,104341,3297,45400,238879,62809,25047,207106,38235
West Khasi Hills,58327,1401,18788,110914,34681,10661,110855,22245
