District,Name of Villagewithpopulation >5000,Population,Bank,Allotted To Bank For Opening Of Branch Duly Approved In The Dcc/Slbc,No. of Brick & Mortar Br. Tobeopened (April-16 to Mar-2017)
Churachandpur,Vengnuam,7302,,Syndicate Bank,April-16 to Mar-2017
Bishnupur,Wangoo Ahallup,9148,No,HDFC,April-16 to Mar-2017
Thoubal,Heirok Part I I (Pt),6205,No,Allahabad Bank,April-16 to Mar-2017
Kakching,Wabagai,8578,No,SBI,April-16 to Mar-2017
