District,Number Of Account,Total Outstanding,Demand Raised,Recovery Amt,Recovery %,Overdues
Bishnupur,463,746.94,297.5,8.35,3,289.15
Chandel,218,336.68,68.25,3.06,4,65.19
Churachandpur,309,438.75,74.87,27.34,37,47.53
Imphal East,635,1998.66,429.82,52.06,12,377.76
Imphal West,1049,3379.4,623.45,61.26,10,562.19
Jiribam,23,51.63,0,0,,0
Kakching,207,411.73,38.03,5.93,16,32.1
Kamjong,27,59.21,12.56,0.63,5,11.93
Kangpokpi,171,367.26,56.7,27.46,48,29.24
Noney,24,51.96,10.85,0.54,5,10.31
Pherzawl,0,0,0,0,,0
Senapati,350,513.67,91.99,4.65,5,87.34
Tamenglong,201,239.52,0,0,,0
Tengnoupal,82,148.88,10.68,0.53,5,10.15
Thoubal,439,840.04,72.22,22.77,32,49.45
Ukhrul,324,469.65,63.72,3.55,6,60.17
