district,Rural,Urban,Urban,Total,BC,Atm,Semi,Atm,Total
Bishnupur,4,0,0,19,37,0,7,0,19
Chandel,5,0,0,4,7,0,0,0,4
Churachandpur,12,1,1,28,29,2,17,2,28
Imphal East,21,13,13,45,37,15,2,15,45
Imphal West,8,59,59,175,59,99,13,99,175
Jiribam,2,0,0,2,4,0,0,0,2
Kakching,1,0,0,10,26,0,5,0,10
Kamjong,1,0,0,1,2,0,0,0,1
Kangpokpi,8,0,0,9,9,2,0,2,9
Noney,3,0,0,1,4,0,0,0,1
Pherzawl,1,0,0,0,0,0,0,0,0
Tamenglong,3,0,0,2,,0,2,0,2
Tengnoupal,3,0,0,6,4,0,3,0,6
Thoubal,4,0,0,28,35,0,14,0,28
Ukhrul,4,0,0,7,12,1,5,1,7
