District,Current Year Number of Cardsissued,Current Year Limit Sanctioned,O/S Position Number of Cardsissued,O/S Position Limit Sanctioned
Bishnupur,235,113.28,4602,1660.03
Chandel,0,0.00,128,97.54
Churachandpur,174,138.08,1205,789.65
Imphal East,472,525.04,5516,2911.49
Imphal West,277,373.81,10527,7136.60
Jiribam,12,8.36,55,17.29
Kakching,25,40.79,528,226.37
Kamjong,0,0.00,0,0.00
Kangpokpi,52,26.10,585,362.33
Noney,10,3.45,13,4.22
Pherzawl,0,0.00,0,0.00
Senapati,249,175.32,1557,1000.07
Tamenglong,24,11.60,82,31.64
Tengnoupal,8,5.95,227,79.97
Thoubal,453,308.73,3191,1097.58
Ukhrul,18,18.10,355,248.12
