district,Bank Name,No.,Amt,No.,Amt,No.,Amt,No.,Amt
Bishnupur,,369,4477.27,369,4477.27,369,4477.27,369,4477.27
Chandel,,98,1234.07,98,1234.07,98,1234.07,98,1234.07
Churachandpur,,733,10156.52,733,10156.52,733,10156.52,733,10156.52
Imphal East,,1358,14783.55,1358,14783.55,1358,14783.55,1358,14783.55
Imphal West,,5525,54556.47,5525,54556.47,5525,54556.47,5525,54556.47
Jiribam,,8,38.04,8,38.04,8,38.04,8,38.04
Kakching,,224,3749.00,224,3749.00,224,3749.00,224,3749.00
Kamjong,,0,0.00,0,0.00,0,0.00,0,0.00
Kangpokpi,,161,2789.27,161,2789.27,161,2789.27,161,2789.27
Noney,,0,0.00,0,0.00,0,0.00,0,0.00
Pherzawl,,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,,223,4271.47,223,4271.47,223,4271.47,223,4271.47
Tamenglong,,2,39.70,2,39.70,2,39.70,2,39.70
Tengnoupal,,67,981.47,67,981.47,67,981.47,67,981.47
Thoubal,,384,5341.62,384,5341.62,384,5341.62,384,5341.62
Ukhrul,,7,74.80,7,74.80,7,74.80,7,74.80
