District,Noof Pending Cases Atthe Beginning Ofthe Quarter,Amtof Pending Cases Atthe Beginning Ofthe Quarter,Noof Casesaddduring The Quarter,Amtof Cases Addduringthe Quarter,Noof Cases Settledduring The Quarter,Amtof Casessettledduringthequarter,Noof Pending Casesatthecloseofthe Quarter,Amtof Pending Casesatthecloseofthe Quarter
Bishnupur,91,189.35,0,0,3,6.6,88,182.75
Chandel,0,0,0,0,0,0,0,0
Churachandpur,11,32.03,0,0,0,0,11,32.03
Imphal East,35,423.18,0,0,0,0,35,423.18
Imphal West,295,854.31,0,0,1,16.89,294,837.42
Jiribam,0,0,0,0,0,0,0,0
Kakching,70,197.33,0,0,0,0,70,197.33
Kamjong,0,0,0,0,0,0,0,0
Kangpokpi,9,12.06,0,0,0,0,9,12.06
Noney,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,0,0,0,0
Tamenglong,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,0,0,0,0
Thoubal,83,169.8,0,0,0,0,83,169.8
Ukhrul,6,1.56,0,0,0,0,6,1.56
