district,Tot (PS) Amt. NPA Other,Tot (PS) No. NPA Other,Amt Other PS,No Other PS,able Amt Renew-,able No Renew-,Social Amt Infra,Infra Social No,Amt Housing PS,PS No Housing,PS Amt Education,PS No Education,Amt Export,No Export
East Garo Hills,75.92,121,11.89,94,0,0,13.47,5,47.4,20,3.16,2,0,0
East Jaintia Hills,169.08,19,165.41,17,0,0,3.67,2,0,0,0,0,0,0
East Khasi Hills,1877.36,1452,1376.63,1333,0,0,36.55,13,290.76,37,173.42,69,0,0
North Garo Hills,196.92,74,0,0,0,0,14.42,8,164.87,62,17.63,4,0,0
Ri Bhoi,329.27,298,251.13,270,0,0,6.74,3,39.26,9,32.14,16,0,0
South Garo Hills,102.45,43,0,0,0,0,24.74,12,77.71,31,0,0,0,0
West Garo Hills,915.74,561,552.95,492,0,0,41.27,13,309.1,51,12.42,5,0,0
West Jaintia Hills,427.78,148,317.85,117,0,0,14.75,10,67.35,13,27.83,8,0,0
West Khasi Hills,106.58,52,79.51,40,0,0,2.61,1,6.94,3,17.52,8,0,0
