district,of Amt student which OS girl,OS amt,of No student which OS girl,OS No,of student Amt which Disb girl,Disb. Amt,of No student which Disb girl,Disb. Number,of tioned student which Amt Sanc- girl,Amt tioned Sanc-,of dent which No girl Sanctioned stu-,No Sanctioned
East Garo Hills,50.91,101.66,14,29,3.29,4.02,2,3,3.55,3.55,1,1
East Jaintia Hills,102.79,157.21,43,61,29.96,33.13,18,22,21.96,27.77,11,14
East Khasi Hills,9043.8,23927.78,1515,2951,1441.43,3877.99,516,884,1372.96,3203.64,252,427
North Garo Hills,34.87,77.69,12,27,4.61,13.25,6,12,2.27,7.21,2,4
Ri Bhoi,1029.43,1495.7,337,467,269.46,329.56,137,174,252.96,289.59,80,96
South Garo Hills,28.35,42.85,10,14,5.79,6.9,4,5,5.22,6.38,3,4
West Garo Hills,645.01,1372.3,184,334,126.5,218.37,77,125,147.87,312.53,46,73
West Jaintia Hills,316.97,586.58,131,206,70.85,113.79,56,89,76.51,116.61,41,60
West Khasi Hills,302.73,401.07,131,167,98.04,101.84,60,60,122.64,122.64,47,47
