district,Rabi Number Insurance (Others),Rabi insured PMFBY under Amount,under Farmers Rabi No. of PMFBY covered,Kharif Number (Others) Insurance,Kharif insured PMFBY under Amount,covered Kharif No. under of PMFBY Farmers,Current Year Achievement Crop Amount Loan
East Garo Hills,0,0,0,0,720.62,1731,212.33
Ri Bhoi,0,0,0,0,1772.51,4323,1370.72
