district,Total No. Enrolment,APY Enrolment under,renewals PMSBY under,under eligible PMSBY cases,Enrolment PMSBY under,renewals PMJJBY under,under eligible PMJJBY cases,Enrolment PMJJBY under
East Garo Hills,43657,2334,24884,90770,29253,8175,59575,12070
East Jaintia Hills,97163,3516,36675,124441,51764,21235,100374,41883
East Khasi Hills,426851,25669,195977,925051,258060,92288,699651,143122
Eastern West Khasi Hills,32535,1577,22261,84747,18008,13525,67145,12950
North Garo Hills,70731,11505,41209,118417,42976,13828,70710,16250
Ri Bhoi,144379,7005,78473,266753,85478,36778,203424,51896
South Garo Hills,32818,2281,18032,74617,20693,6648,48079,9844
South West Garo Hills,90700,5729,56173,114985,63060,15402,66548,21911
South West Khasi Hills,29285,1079,15978,64400,17759,6656,47629,10447
West Garo Hills,240918,19473,137823,405263,159168,40339,253527,62277
West Jaintia Hills,170114,6251,59570,258214,100035,28956,204879,63828
West Khasi Hills,72636,1924,28321,124975,42271,14891,99225,28441
