district,Small Amt,Small No,Micro Amt,Micro No,Amt Ancillary,Ancillary No,Agri Amt Infra,Agri Infra No,Term Amt Loan,Loan Term No,Crop Amt,Crop No
East Garo Hills,0,0,681.76,1001,60.79,113,368.53,1625,23.54,73,554.37,1286
East Jaintia Hills,71.36,5,812.25,178,0.88,1,98.6,241,9.53,22,10.76,25
East Khasi Hills,713.15,65,8916.4,3607,708.08,63,1050.28,704,149.22,324,2168.13,4006
Eastern West Khasi Hills,0,0,72.56,75,3.65,2,24.13,91,30.08,80,244.77,652
North Garo Hills,9.63,2,521.81,718,63.37,62,489.21,1707,3.59,6,1198.8,2570
Ri Bhoi,103.48,15,1266.2,871,85.99,47,393.83,1472,104.14,355,7514.92,12375
South Garo Hills,0,0,477.57,507,138.58,159,273.55,1244,27.58,46,315.33,915
South West Garo Hills,0,0,619.57,405,42.21,25,536.49,2247,32.93,67,942.08,2347
South West Khasi Hills,2.15,3,168.2,82,73.05,58,31.59,111,3.1,4,86.7,164
West Garo Hills,51.75,6,2778.95,2184,158.71,138,690.82,2960,205.76,565,1826.71,4046
West Jaintia Hills,103.35,27,2187,892,7.79,8,80.35,275,45.29,97,741.67,1309
West Khasi Hills,12.49,2,825.35,401,0.42,4,80.57,393,48.84,62,1664.4,2708
