district,OPS Total Amount O/S,O/S OPS No. Total,Other Amt. PS,No. Other PS,able Renew- Amt.,No. Renewable,Amt. Infra Social,Infra Social No.,PS Amt. Housing,PS No. Housing,PS Amt. Education,PS No. Education,Amt. Export,No. Export
East Garo Hills,961.24,462,67.2,347,0,0,15.29,6,777.09,80,101.66,29,0,0
East Jaintia Hills,879.96,132,165.41,17,0.86,1,10.83,3,548.07,51,154.79,60,0,0
East Khasi Hills,52122.05,12658,6488.67,7150,3.22,3,138.15,40,33604.46,3094,11887.55,2371,0,0
North Garo Hills,912.26,156,0,0,8.5,4,36.65,11,789.42,114,77.69,27,0,0
Ri Bhoi,14430.67,2462,437.92,974,283.46,33,9.54,6,12545.69,999,1154.06,450,0,0
South Garo Hills,596.43,91,0,0,0,0,31.44,13,522.14,64,42.85,14,0,0
West Garo Hills,9752.74,2886,802.78,1520,536.16,338,85.77,22,7326.73,691,1001.3,315,0,0
West Jaintia Hills,6282.01,1244,590.17,593,0.62,1,19.66,11,5195.73,435,475.83,204,0,0
West Khasi Hills,2179.15,362,79.51,40,1.61,1,2.61,1,1697.83,154,397.59,166,0,0
