district,Amt. PMEGP % NPA,PMEGP NPA Amt.,No. PMEGP NPA,Amt. PMEGP O/S,PMEGP O/S No.,CY Amt. BURSED DIS-,CY No. BURSED DIS- A/C,CY TION Amt. SANC-,CY TION No. A/C SANC-
East Garo Hills,21.4,134.07,95,626.46,189,57.91,8,91.34,21
East Jaintia Hills,3.43,24.09,12,702.92,149,44.64,9,39.55,8
East Khasi Hills,14.1,1321.41,553,9374.44,1824,767.45,176,1170.48,140
Eastern West Khasi Hills,4.97,29.81,24,599.69,136,22.48,7,50.17,7
North Garo Hills,19.8,160.78,100,811.85,244,41.43,13,83.34,10
Ri Bhoi,10.48,222.87,157,2126.42,608,171.04,65,317.64,58
South Garo Hills,25.48,195.56,129,767.58,221,6.88,4,5.87,2
South West Garo Hills,41.97,315.36,142,751.35,248,31.22,8,40.2,9
South West Khasi Hills,8.64,43.95,32,508.51,157,54.44,14,95.7,12
West Garo Hills,18.65,759.39,267,4071.21,930,366.45,63,525.45,96
West Jaintia Hills,9.6,285.03,134,2967.55,781,209.83,66,263.45,49
West Khasi Hills,22.45,153.93,122,685.74,232,52.07,15,106.61,17
