district,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
East Garo Hills,110788,58467,16549
East Jaintia Hills,143402,68770,6670
East Khasi Hills,1054666,388783,146305
Eastern West Khasi Hills,104967,54778,2223
North Garo Hills,138808,66220,11922
Ri Bhoi,305493,126249,13494
South Garo Hills,86596,44788,10896
South West Garo Hills,144931,84815,23244
South West Khasi Hills,83374,37976,1946
West Garo Hills,473771,212598,61511
West Jaintia Hills,308350,135569,32337
West Khasi Hills,141999,65102,8193
