District,USSD Amt,USSD A/C,Debit & Credit Cards Amt,Debit & Credit Cards A/C,IMPS Amt,IMPS A/C,Bharat QR Code Amt,Bharat QR Code A/C,BHIM Aadhaar Amt,BHIM Aadhaar A/C,BHIM/UPI Amt,BHIM/UPI A/C
East Garo Hills,586.69,26676,1281.69,31005,2786.48,17304,117.79,410,21411.46,1586308,6523.99,181856
East Jaintia Hills,726.06,22185,4804.03,94414,164688.02,46315,245.92,1407,26594.48,1364372,34545.97,1000771
East Khasi Hills,20255.34,937195,82275.12,2096086,682756.43,463980,1336.38,6613,231056.31,13514841,346391.19,7645286
North Garo Hills,588.8,21616,970.22,25672,315.73,1426,0.01,1,25376.45,1827292,1253.35,97654
Ri Bhoi,3439.02,151594,7521.21,213690,170263.07,35646,410.04,1705,63043.47,3768756,37272.36,1292187
South Garo Hills,343.46,11933,425.43,11666,173.96,1209,0,0,16254.18,1139058,873.28,35715
South West Garo Hills,607.13,21669,685.51,16906,5155.9,29521,0.15,3,23162.22,1584282,17023.25,417124
South West Khasi Hills,328.73,11640,2004.76,46890,338.81,1902,16.51,142,5710.56,350112,843.23,43506
West Garo Hills,3375.59,132436,5797.64,140958,150228.62,57649,314.15,1463,130979.92,7707469,28999.27,961392
West Jaintia Hills,1485.32,63336,9898.4,247649,104914.15,34030,37.93,515,27656.18,1740632,20792.69,769297
West Khasi Hills,580.46,20614,4363.8,114016,2745.65,14870,0,0,10795.26,635948,8934.46,389141
