District,Block,No. of appl. submitted,Amt (In lacs),No. of application sanctioned,No. of application disbursed,Pending sanction
East Garo Hills,Songsak,150,7.5,56,5,94
East Jaintia Hills,Saipung,130,90,49,47,81
East Khasi Hills,Sohiong,114,48.59,76,33,38
Eastern West Khasi Hills,Mawthadraishan,73,55,36,32,37
North Garo Hills,Resubelpara,376,94,241,124,135
Ri Bhoi,Umsning,96,76.45,49,49,47
South Garo Hills,Rongara,33,6,31,6,2
South West Garo Hills,Zikzak,214,0,19,0,195
South West Khasi Hills,Ranikor,191,126,100,100,91
West Garo Hills,Tikrikilla,156,0,32,0,124
West Jaintia Hills,Thadlaskein,219,134.5,96,86,123
West Khasi Hills,Nongstoin,121,114,68,61,53
